Var,Factor,pd_value
1.0,0.0,0.986
1.0,1.0,1.0
1.0,2.0,1.0
1.0,3.0,1.0
1.0,4.0,0.916
1.0,5.0,0.412
1.0,6.0,0.986
1.0,7.0,0.908
1.0,8.0,1.0
1.0,9.0,0.514
1.0,10.0,0.552
1.0,11.0,1.0
1.0,12.0,0.734
1.0,13.0,1.0
1.0,14.0,0.648
1.0,15.0,0.964
1.0,16.0,0.856
1.0,17.0,0.622
1.0,18.0,0.98
1.0,19.0,0.97
1.0,20.0,1.0
1.0,21.0,1.0
2.0,0.0,0.988
2.0,1.0,1.0
2.0,2.0,1.0
2.0,3.0,1.0
2.0,4.0,0.896
2.0,5.0,0.424
2.0,6.0,0.98
2.0,7.0,0.918
2.0,8.0,1.0
2.0,9.0,0.53
2.0,10.0,0.536
2.0,11.0,1.0
2.0,12.0,0.756
2.0,13.0,1.0
2.0,14.0,0.704
2.0,15.0,0.946
2.0,16.0,0.846
2.0,17.0,0.598
2.0,18.0,0.982
2.0,19.0,0.96
2.0,20.0,1.0
2.0,21.0,1.0
3.0,0.0,0.984
3.0,1.0,1.0
3.0,2.0,1.0
3.0,3.0,1.0
3.0,4.0,0.922
3.0,5.0,0.434
3.0,6.0,0.966
3.0,7.0,0.94
3.0,8.0,1.0
3.0,9.0,0.496
3.0,10.0,0.552
3.0,11.0,1.0
3.0,12.0,0.718
3.0,13.0,1.0
3.0,14.0,0.666
3.0,15.0,0.924
3.0,16.0,0.836
3.0,17.0,0.65
3.0,18.0,0.964
3.0,19.0,0.952
3.0,20.0,1.0
3.0,21.0,1.0
4.0,0.0,0.984
4.0,1.0,1.0
4.0,2.0,1.0
4.0,3.0,1.0
4.0,4.0,0.96
4.0,5.0,0.448
4.0,6.0,0.982
4.0,7.0,0.944
4.0,8.0,1.0
4.0,9.0,0.544
4.0,10.0,0.528
4.0,11.0,1.0
4.0,12.0,0.79
4.0,13.0,1.0
4.0,14.0,0.614
4.0,15.0,0.924
4.0,16.0,0.886
4.0,17.0,0.66
4.0,18.0,0.986
4.0,19.0,0.964
4.0,20.0,1.0
4.0,21.0,1.0
5.0,0.0,0.994
5.0,1.0,1.0
5.0,2.0,1.0
5.0,3.0,1.0
5.0,4.0,0.91
5.0,5.0,0.248
5.0,6.0,0.996
5.0,7.0,0.916
5.0,8.0,1.0
5.0,9.0,0.574
5.0,10.0,0.45
5.0,11.0,1.0
5.0,12.0,0.802
5.0,13.0,1.0
5.0,14.0,0.656
5.0,15.0,0.956
5.0,16.0,0.888
5.0,17.0,0.536
5.0,18.0,0.994
5.0,19.0,0.964
5.0,20.0,1.0
5.0,21.0,1.0
6.0,0.0,0.984
6.0,1.0,1.0
6.0,2.0,1.0
6.0,3.0,1.0
6.0,4.0,0.91
6.0,5.0,0.5
6.0,6.0,0.99
6.0,7.0,0.926
6.0,8.0,1.0
6.0,9.0,0.562
6.0,10.0,0.578
6.0,11.0,1.0
6.0,12.0,0.736
6.0,13.0,1.0
6.0,14.0,0.702
6.0,15.0,0.952
6.0,16.0,0.854
6.0,17.0,0.648
6.0,18.0,0.972
6.0,19.0,0.968
6.0,20.0,1.0
6.0,21.0,1.0
7.0,0.0,0.994
7.0,1.0,1.0
7.0,2.0,1.0
7.0,3.0,1.0
7.0,4.0,0.894
7.0,5.0,0.454
7.0,6.0,0.974
7.0,7.0,0.88
7.0,8.0,1.0
7.0,9.0,0.51
7.0,10.0,0.572
7.0,11.0,1.0
7.0,12.0,0.72
7.0,13.0,1.0
7.0,14.0,0.67
7.0,15.0,0.94
7.0,16.0,0.872
7.0,17.0,0.614
7.0,18.0,0.97
7.0,19.0,0.962
7.0,20.0,1.0
7.0,21.0,1.0
8.0,0.0,0.98
8.0,1.0,1.0
8.0,2.0,1.0
8.0,3.0,1.0
8.0,4.0,0.92
8.0,5.0,0.48
8.0,6.0,0.966
8.0,7.0,0.926
8.0,8.0,1.0
8.0,9.0,0.558
8.0,10.0,0.652
8.0,11.0,1.0
8.0,12.0,0.756
8.0,13.0,1.0
8.0,14.0,0.648
8.0,15.0,0.956
8.0,16.0,0.85
8.0,17.0,0.626
8.0,18.0,0.988
8.0,19.0,0.966
8.0,20.0,1.0
8.0,21.0,1.0
9.0,0.0,0.974
9.0,1.0,1.0
9.0,2.0,1.0
9.0,3.0,1.0
9.0,4.0,0.94
9.0,5.0,0.458
9.0,6.0,0.976
9.0,7.0,0.94
9.0,8.0,1.0
9.0,9.0,0.746
9.0,10.0,0.504
9.0,11.0,1.0
9.0,12.0,0.75
9.0,13.0,1.0
9.0,14.0,0.68
9.0,15.0,0.958
9.0,16.0,0.89
9.0,17.0,0.648
9.0,18.0,0.98
9.0,19.0,0.952
9.0,20.0,1.0
9.0,21.0,1.0
10.0,0.0,0.986
10.0,1.0,1.0
10.0,2.0,1.0
10.0,3.0,1.0
10.0,4.0,0.9
10.0,5.0,0.496
10.0,6.0,0.976
10.0,7.0,0.906
10.0,8.0,1.0
10.0,9.0,0.506
10.0,10.0,0.898
10.0,11.0,1.0
