Var,Factor,pd_value
0.2,0.0,1.0
0.2,1.0,1.0
0.2,2.0,1.0
0.2,3.0,1.0
0.2,4.0,1.0
0.2,5.0,0.3333333333333333
0.2,6.0,1.0
0.2,7.0,0.3333333333333333
0.2,8.0,1.0
0.2,9.0,0.0
0.2,10.0,0.6666666666666666
0.2,11.0,0.0
0.2,12.0,0.3333333333333333
0.2,13.0,1.0
0.2,14.0,0.0
0.2,15.0,1.0
0.2,16.0,0.6666666666666666
0.2,17.0,0.0
0.2,18.0,0.6666666666666666
0.2,19.0,0.3333333333333333
0.2,20.0,1.0
0.2,21.0,1.0
0.25,0.0,1.0
0.25,1.0,1.0
0.25,2.0,1.0
0.25,3.0,1.0
0.25,4.0,0.0
0.25,5.0,0.3333333333333333
0.25,6.0,0.3333333333333333
0.25,7.0,0.3333333333333333
0.25,8.0,1.0
0.25,9.0,0.0
0.25,10.0,1.0
0.25,11.0,0.0
0.25,12.0,0.0
0.25,13.0,1.0
0.25,14.0,0.3333333333333333
0.25,15.0,1.0
0.25,16.0,0.0
0.25,17.0,0.0
0.25,18.0,0.0
0.25,19.0,0.0
0.25,20.0,1.0
0.25,21.0,1.0
