Net_ID,Var,Factor,intervention_effect
0.0,0.01,0.0,0.10891842514811312
0.0,0.01,1.0,0.0022684452299497893
0.0,0.01,2.0,0.01565936835717524
0.0,0.01,3.0,-1.9364261294452234e-07
0.0,0.01,4.0,-0.007945726248734963
0.0,0.01,5.0,-0.022017514548004533
0.0,0.01,6.0,0.00017676036747155122
0.0,0.01,7.0,-0.020051418055954076
0.0,0.01,8.0,-4.9672046921536706e-06
0.0,0.01,9.0,-0.013221230830522901
0.0,0.01,10.0,-0.0031292290148623447
0.0,0.01,11.0,5.69931407623514e-09
0.0,0.01,12.0,1.3676739920365222e-05
0.0,0.01,13.0,0.015661747978999052
0.0,0.01,14.0,0.0009396601890593603
0.0,0.01,15.0,0.00031681433963239025
0.0,0.01,16.0,-0.0003055132051013043
0.0,0.01,17.0,-0.023261037475545657
0.0,0.01,18.0,0.0019517126465711798
0.0,0.01,19.0,-0.018046840424682964
0.0,0.01,20.0,0.013824622980481038
0.0,0.01,21.0,-1.032739143258521e-06
0.0,1.01,0.0,0.1123991005949847
0.0,1.01,1.0,0.002336051837135672
0.0,1.01,2.0,0.01622873411062098
0.0,1.01,3.0,-1.9358997258023258e-07
0.0,1.01,4.0,-0.008055307172102844
0.0,1.01,5.0,-0.022734313676469914
0.0,1.01,6.0,0.0001464368096642521
0.0,1.01,7.0,-0.02071076801982498
0.0,1.01,8.0,-4.968615532244258e-06
0.0,1.01,9.0,-0.013665789604485834
0.0,1.01,10.0,-0.0032353279769473664
0.0,1.01,11.0,5.686950452221673e-09
0.0,1.01,12.0,-1.981783157717354e-06
0.0,1.01,13.0,0.016187376959205135
0.0,1.01,14.0,0.0009751209466728195
0.0,1.01,15.0,0.0003278296769424621
0.0,1.01,16.0,-0.00035717368986831755
0.0,1.01,17.0,-0.024026627621960894
0.0,1.01,18.0,0.0020052681755615975
0.0,1.01,19.0,-0.01870615177965812
0.0,1.01,20.0,0.01467478904149594
0.0,1.01,21.0,-1.033030478769792e-06
0.0,2.01,0.0,0.11602165238466156
0.0,2.01,1.0,0.00240884413967124
0.0,2.01,2.0,0.016832139802753276
0.0,2.01,3.0,-1.9343986470965469e-07
0.0,2.01,4.0,-0.008432920439950087
0.0,2.01,5.0,-0.023506369580091058
0.0,2.01,6.0,0.0001988130536407784
0.0,2.01,7.0,-0.021424713992074185
0.0,2.01,8.0,-4.970487800265433e-06
0.0,2.01,9.0,-0.014158813613931953
0.0,2.01,10.0,-0.003332798509039503
0.0,2.01,11.0,5.659937171720308e-09
0.0,2.01,12.0,1.9964513781473014e-05
0.0,2.01,13.0,0.016756263095392493
0.0,2.01,14.0,0.0010063565703388039
0.0,2.01,15.0,0.00033932215797871645
0.0,2.01,16.0,-0.000315890398506935
0.0,2.01,17.0,-0.024833881213508976
0.0,2.01,18.0,0.002070592281945338
0.0,2.01,19.0,-0.01936491485870806
0.0,2.01,20.0,0.01549455313793191
0.0,2.01,21.0,-1.0334110033816124e-06
0.0,3.01,0.0,0.12007642689829612
0.0,3.01,1.0,0.002494221825295767
0.0,3.01,2.0,0.017399366570420682
0.0,3.01,3.0,-1.9351647065346533e-07
0.0,3.01,4.0,-0.008830826284087767
0.0,3.01,5.0,-0.024322307940757126
0.0,3.01,6.0,0.00023270499278649215
0.0,3.01,7.0,-0.022165375584545594
0.0,3.01,8.0,-4.971420403752924e-06
0.0,3.01,9.0,-0.014643929885003848
0.0,3.01,10.0,-0.0034444002389057427
0.0,3.01,11.0,5.687058823866664e-09
0.0,3.01,12.0,3.2916789875714336e-05
0.0,3.01,13.0,0.01733420094850402
0.0,3.01,14.0,0.0010404701313464354
0.0,3.01,15.0,0.00035099950708121497
0.0,3.01,16.0,-0.00029587878154258007
0.0,3.01,17.0,-0.025692914436375558
0.0,3.01,18.0,0.0021455896864625013
0.0,3.01,19.0,-0.020003329789860858
0.0,3.01,20.0,0.015997594221724865
0.0,3.01,21.0,-1.0336091081919463e-06
0.0,4.01,0.0,0.12452903890296008
0.0,4.01,1.0,0.0025846479765861408
0.0,4.01,2.0,0.018013166957556892
0.0,4.01,3.0,-1.931454879505745e-07
0.0,4.01,4.0,-0.009068157444822589
0.0,4.01,5.0,-0.025190930027595704
0.0,4.01,6.0,0.00021440051117072034
0.0,4.01,7.0,-0.02295141261578533
0.0,4.01,8.0,-4.965176277606231e-06
0.0,4.01,9.0,-0.01515081400169957
0.0,4.01,10.0,-0.0035751565013681375
0.0,4.01,11.0,5.633361790935432e-09
0.0,4.01,12.0,2.342304035307663e-05
0.0,4.01,13.0,0.01794845792841343
0.0,4.01,14.0,0.0010814945118825733
0.0,4.01,15.0,0.00036377248422561625
0.0,4.01,16.0,-0.0003367658196836709
0.0,4.01,17.0,-0.02661701970663767
0.0,4.01,18.0,0.002222676662681916
0.0,4.01,19.0,-0.020712639219158446
