Net_ID,Var,Factor,intervention_effect
0.0,0.01,0.0,0.0002284027478531847
0.0,0.01,1.0,3.154389828724513e-05
0.0,0.01,2.0,-4.608187848148537e-05
0.0,0.01,3.0,3.0526133075192696e-06
0.0,0.01,4.0,0.0001226360042333452
0.0,0.01,5.0,-0.0010776575111624638
0.0,0.01,6.0,0.00026663165779478026
0.0,0.01,7.0,-0.004048738969485827
0.0,0.01,8.0,4.107048773720201e-05
0.0,0.01,9.0,7.515853295614328e-05
0.0,0.01,10.0,-0.0003098281173935513
0.0,0.01,11.0,1.4371501114163188e-07
0.0,0.01,12.0,0.0005411760862995552
0.0,0.01,13.0,-5.971233777662954e-05
0.0,0.01,14.0,-0.002295280163367409
0.0,0.01,15.0,1.1342856602786222e-05
0.0,0.01,16.0,0.00044011845769442726
0.0,0.01,17.0,-0.005717773835480524
0.0,0.01,18.0,0.0009205537742524861
0.0,0.01,19.0,-0.00013927958480930425
0.0,0.01,20.0,0.0001638911512933383
0.0,0.01,21.0,8.933972440505755e-06
0.0,0.51,0.0,0.00022800463332017795
0.0,0.51,1.0,3.1520793266071045e-05
0.0,0.51,2.0,-4.6007691662630634e-05
0.0,0.51,3.0,3.052613307560903e-06
0.0,0.51,4.0,0.0001227173442619467
0.0,0.51,5.0,-0.0010776575115005183
0.0,0.51,6.0,0.0002666345763825406
0.0,0.51,7.0,-0.004048739037284743
0.0,0.51,8.0,4.107048773888122e-05
0.0,0.51,9.0,7.50828351601951e-05
0.0,0.51,10.0,-0.0003098266268617422
0.0,0.51,11.0,1.4371501114163188e-07
0.0,0.51,12.0,0.0005411813622389627
0.0,0.51,13.0,-5.9621348036609234e-05
0.0,0.51,14.0,-0.002295280170859497
0.0,0.51,15.0,1.1347411594225809e-05
0.0,0.51,16.0,0.0004400570814717675
0.0,0.51,17.0,-0.005717778279165267
0.0,0.51,18.0,0.0009205338124990692
0.0,0.51,19.0,-0.00013944555028255756
0.0,0.51,20.0,0.0001639452958542842
0.0,0.51,21.0,8.933972440894333e-06
0.0,1.01,0.0,0.00022760230408813698
0.0,1.01,1.0,3.149738258412249e-05
0.0,1.01,2.0,-4.5932632329159784e-05
0.0,1.01,3.0,3.0526133076025364e-06
0.0,1.01,4.0,0.00012279993730790473
0.0,1.01,5.0,-0.001077657511846605
0.0,1.01,6.0,0.0002666375798324738
0.0,1.01,7.0,-0.004048739106062727
0.0,1.01,8.0,4.1070487740560435e-05
0.0,1.01,9.0,7.500622868022999e-05
0.0,1.01,10.0,-0.0003098251198588309
0.0,1.01,11.0,1.4371501114163188e-07
0.0,1.01,12.0,0.0005411867134236803
0.0,1.01,13.0,-5.952933591490961e-05
0.0,1.01,14.0,-0.00229528017825581
0.0,1.01,15.0,1.1352026079047839e-05
0.0,1.01,16.0,0.00043999499763691663
0.0,1.01,17.0,-0.005717782764525798
0.0,1.01,18.0,0.0009205136182741103
0.0,1.01,19.0,-0.00013961339323720345
0.0,1.01,20.0,0.000164000079325044
0.0,1.01,21.0,8.9339724412274e-06
0.0,1.51,0.0,0.0002271957498546362
0.0,1.51,1.0,3.147366543010399e-05
0.0,1.51,2.0,-4.5856698209167934e-05
0.0,1.51,3.0,3.0526133076441697e-06
0.0,1.51,4.0,0.0001228837867179866
0.0,1.51,5.0,-0.0010776575122007498
0.0,1.51,6.0,0.00026664066840542677
0.0,1.51,7.0,-0.004048739175822814
0.0,1.51,8.0,4.107048774223965e-05
0.0,1.51,9.0,7.492871106090648e-05
0.0,1.51,10.0,-0.0003098235963345797
0.0,1.51,11.0,1.4371501116938745e-07
0.0,1.51,12.0,0.0005411921400673148
0.0,1.51,13.0,-5.943629878985002e-05
0.0,1.51,14.0,-0.0022952801855560916
0.0,1.51,15.0,1.1356700214903981e-05
