Net_ID,Var,Factor,intervention_effect
0.0,0.01,0.0,-1.814045779096063e-05
0.0,0.01,1.0,-0.0007014732762957443
0.0,0.01,2.0,0.0009357586861954148
0.0,0.01,3.0,-0.0017307167807629198
0.0,0.01,4.0,-5.013715747202518e-05
0.0,0.01,5.0,-0.002051854412188983
0.0,0.01,6.0,-0.0018101791425297331
0.0,0.01,7.0,-1.4563225041901119e-09
0.0,0.01,8.0,-3.0544593018579885e-12
0.0,0.01,9.0,-0.0004995895491780034
0.0,0.01,10.0,-0.00041409019635108013
0.0,0.01,11.0,-0.0007426326934684702
0.0,0.01,12.0,0.003722097551629262
0.0,0.01,13.0,0.0012865049380607618
0.0,0.01,14.0,0.0008854814741793629
0.0,0.01,15.0,-2.6286132723219953e-07
0.0,0.01,16.0,0.0005547293524545693
0.0,0.01,17.0,0.00026738025114253494
0.0,0.01,18.0,-0.00016188425158552118
0.0,0.01,19.0,-0.0014394198486180907
0.0,0.01,20.0,-4.867475285639861e-12
0.0,0.01,21.0,-0.0005392922807000433
0.0,1.01,0.0,-1.8133991643167053e-05
0.0,1.01,1.0,-0.0007014606039257854
0.0,1.01,2.0,0.0009357376501105963
0.0,1.01,3.0,-0.0017306886295706952
0.0,1.01,4.0,-5.013715745094961e-05
0.0,1.01,5.0,-0.0020518344835729133
0.0,1.01,6.0,-0.0018101481560022226
0.0,1.01,7.0,-1.4563225041900848e-09
0.0,1.01,8.0,-3.0544593018579877e-12
0.0,1.01,9.0,-0.0004995897699221485
0.0,1.01,10.0,-0.00041410415057302474
0.0,1.01,11.0,-0.0007426303972194459
0.0,1.01,12.0,0.0037220547240184258
0.0,1.01,13.0,0.0012865191284913702
0.0,1.01,14.0,0.0008854750803161046
0.0,1.01,15.0,-2.628613272325334e-07
0.0,1.01,16.0,0.000554737600778038
0.0,1.01,17.0,0.00026737227757844817
0.0,1.01,18.0,-0.00016188424691376222
0.0,1.01,19.0,-0.001439421476109929
0.0,1.01,20.0,-4.86747528563986e-12
0.0,1.01,21.0,-0.0005393037122025657
0.0,2.01,0.0,-1.811215143727801e-05
0.0,2.01,1.0,-0.0007014445572243733
0.0,2.01,2.0,0.0009357097464833264
0.0,2.01,3.0,-0.0017306500753860171
0.0,2.01,4.0,-5.013715742112568e-05
0.0,2.01,5.0,-0.0020518063171902703
0.0,2.01,6.0,-0.0018101103541208197
0.0,2.01,7.0,-1.4563225041900563e-09
0.0,2.01,8.0,-3.0544593018579873e-12
0.0,2.01,9.0,-0.0004995824827926376
0.0,2.01,10.0,-0.0004141145052755646
0.0,2.01,11.0,-0.0007426229395409156
0.0,2.01,12.0,0.0037219862206434463
0.0,2.01,13.0,0.0012865267227225585
0.0,2.01,14.0,0.0008854696626831929
0.0,2.01,15.0,-2.6286132723306774e-07
0.0,2.01,16.0,0.000554740849932206
0.0,2.01,17.0,0.00026735114133719096
0.0,2.01,18.0,-0.00016188424051707278
0.0,2.01,19.0,-0.0014394237428250812
0.0,2.01,20.0,-4.867475285639859e-12
0.0,2.01,21.0,-0.000539318206013939
0.0,3.01,0.0,-1.8038401713362714e-05
0.0,3.01,1.0,-0.0007014262047386199
0.0,3.01,2.0,0.0009356640642929903
0.0,3.01,3.0,-0.0017305947379798875
0.0,3.01,4.0,-5.013715737678565e-05
0.0,3.01,5.0,-0.002051765954495556
0.0,3.01,6.0,-0.0018100721276910203
0.0,3.01,7.0,-1.4563225041900242e-09
0.0,3.01,8.0,-3.054459301857987e-12
0.0,3.01,9.0,-0.0004995605937371805
0.0,3.01,10.0,-0.00041411179872646864
0.0,3.01,11.0,-0.0007426023808516091
0.0,3.01,12.0,0.0037218668805220224
0.0,3.01,13.0,0.0012865280108684818
0.0,3.01,14.0,0.0008854740637217542
0.0,3.01,15.0,-2.62861327233917e-07
0.0,3.01,16.0,0.0005547329178126337
0.0,3.01,17.0,0.00026729131967656583
0.0,3.01,18.0,-0.00016188423133168202
0.0,3.01,19.0,-0.0014394270796216507
0.0,3.01,20.0,-4.8674752856398585e-12
0.0,3.01,21.0,-0.0005393453653715907
0.0,4.01,0.0,-1.778942526769392e-05
0.0,4.01,1.0,-0.0007014145785926296
0.0,4.01,2.0,0.0009355687020485282
0.0,4.01,3.0,-0.0017305128500704203
0.0,4.01,4.0,-5.013715730685013e-05
0.0,4.01,5.0,-0.0020517080462740395
0.0,4.01,6.0,-0.0018100715140906831
