Var,Factor,pd_value
11.0,12.0,0.904
11.0,13.0,0.956
11.0,14.0,0.236
11.0,15.0,0.962
11.0,16.0,0.842
11.0,17.0,0.228
11.0,18.0,0.966
11.0,19.0,0.33
11.0,20.0,0.994
11.0,21.0,1.0
12.0,0.0,0.958
12.0,1.0,0.974
12.0,2.0,0.976
12.0,3.0,1.0
12.0,4.0,0.82
12.0,5.0,0.056
12.0,6.0,0.954
12.0,7.0,0.04
12.0,8.0,1.0
12.0,9.0,0.21
12.0,10.0,0.042
12.0,11.0,0.224
12.0,12.0,0.982
12.0,13.0,0.958
12.0,14.0,0.304
12.0,15.0,0.972
12.0,16.0,0.842
12.0,17.0,0.108
12.0,18.0,0.966
12.0,19.0,0.624
12.0,20.0,0.98
12.0,21.0,1.0
13.0,0.0,0.698
13.0,1.0,0.988
13.0,2.0,0.81
13.0,3.0,1.0
13.0,4.0,0.58
13.0,5.0,0.526
13.0,6.0,0.456
13.0,7.0,0.626
13.0,8.0,1.0
13.0,9.0,0.782
13.0,10.0,0.844
13.0,11.0,0.2
13.0,12.0,0.12
13.0,13.0,0.988
13.0,14.0,0.306
13.0,15.0,0.988
13.0,16.0,0.434
13.0,17.0,0.434
13.0,18.0,0.332
13.0,19.0,0.466
13.0,20.0,0.678
13.0,21.0,1.0
14.0,0.0,0.282
14.0,1.0,0.306
14.0,2.0,0.292
14.0,3.0,1.0
14.0,4.0,0.18
14.0,5.0,0.336
14.0,6.0,0.156
14.0,7.0,0.448
14.0,8.0,1.0
14.0,9.0,0.498
14.0,10.0,0.75
14.0,11.0,0.314
14.0,12.0,0.12
14.0,13.0,0.276
14.0,14.0,0.952
14.0,15.0,0.314
14.0,16.0,0.224
14.0,17.0,0.27
14.0,18.0,0.094
14.0,19.0,0.646
14.0,20.0,0.24
14.0,21.0,1.0
15.0,0.0,0.946
15.0,1.0,1.0
15.0,2.0,0.996
15.0,3.0,1.0
15.0,4.0,0.612
15.0,5.0,0.072
15.0,6.0,0.914
15.0,7.0,0.24
15.0,8.0,1.0
15.0,9.0,0.19
15.0,10.0,0.33
15.0,11.0,0.242
15.0,12.0,0.512
15.0,13.0,0.944
15.0,14.0,0.412
15.0,15.0,1.0
15.0,16.0,0.55
15.0,17.0,0.146
15.0,18.0,0.702
15.0,19.0,0.404
15.0,20.0,0.93
15.0,21.0,1.0
16.0,0.0,0.97
16.0,1.0,0.988
16.0,2.0,0.986
16.0,3.0,1.0
16.0,4.0,0.94
16.0,5.0,0.094
16.0,6.0,0.894
16.0,7.0,0.234
16.0,8.0,1.0
16.0,9.0,0.176
16.0,10.0,0.12
16.0,11.0,0.18
16.0,12.0,0.858
16.0,13.0,0.966
16.0,14.0,0.258
16.0,15.0,0.984
16.0,16.0,0.99
16.0,17.0,0.238
16.0,18.0,0.96
16.0,19.0,0.778
16.0,20.0,0.994
16.0,21.0,1.0
17.0,0.0,0.346
17.0,1.0,0.376
17.0,2.0,0.366
17.0,3.0,1.0
17.0,4.0,0.836
17.0,5.0,0.5
17.0,6.0,0.654
17.0,7.0,0.6
17.0,8.0,1.0
17.0,9.0,0.502
17.0,10.0,0.444
17.0,11.0,0.274
17.0,12.0,0.644
17.0,13.0,0.34
17.0,14.0,0.118
17.0,15.0,0.38
17.0,16.0,0.646
17.0,17.0,0.928
17.0,18.0,0.66
17.0,19.0,0.774
17.0,20.0,0.692
17.0,21.0,1.0
18.0,0.0,0.964
18.0,1.0,0.984
18.0,2.0,0.982
18.0,3.0,1.0
18.0,4.0,0.876
18.0,5.0,0.086
18.0,6.0,0.894
18.0,7.0,0.186
18.0,8.0,1.0
18.0,9.0,0.236
18.0,10.0,0.066
18.0,11.0,0.222
18.0,12.0,0.91
18.0,13.0,0.962
18.0,14.0,0.306
18.0,15.0,0.976
18.0,16.0,0.794
18.0,17.0,0.212
