Var,Factor,pd_value
1.0,0.0,0.986
1.0,1.0,1.0
1.0,2.0,1.0
1.0,3.0,1.0
1.0,4.0,0.918
1.0,5.0,0.43
1.0,6.0,0.986
1.0,7.0,0.91
1.0,8.0,1.0
1.0,9.0,0.526
1.0,10.0,0.562
1.0,11.0,1.0
1.0,12.0,0.734
1.0,13.0,1.0
1.0,14.0,0.652
1.0,15.0,0.964
1.0,16.0,0.86
1.0,17.0,0.632
1.0,18.0,0.98
1.0,19.0,0.972
1.0,20.0,1.0
1.0,21.0,1.0
2.0,0.0,0.988
2.0,1.0,1.0
2.0,2.0,1.0
2.0,3.0,1.0
2.0,4.0,0.898
2.0,5.0,0.456
2.0,6.0,0.978
2.0,7.0,0.918
2.0,8.0,1.0
2.0,9.0,0.54
2.0,10.0,0.55
2.0,11.0,1.0
2.0,12.0,0.752
2.0,13.0,1.0
2.0,14.0,0.702
2.0,15.0,0.946
2.0,16.0,0.846
2.0,17.0,0.604
2.0,18.0,0.98
2.0,19.0,0.96
2.0,20.0,1.0
2.0,21.0,1.0
3.0,0.0,0.984
3.0,1.0,1.0
3.0,2.0,1.0
3.0,3.0,1.0
3.0,4.0,0.918
3.0,5.0,0.438
3.0,6.0,0.966
3.0,7.0,0.94
3.0,8.0,1.0
3.0,9.0,0.506
3.0,10.0,0.552
3.0,11.0,1.0
3.0,12.0,0.714
3.0,13.0,1.0
3.0,14.0,0.67
3.0,15.0,0.924
3.0,16.0,0.836
3.0,17.0,0.65
3.0,18.0,0.964
3.0,19.0,0.95
3.0,20.0,1.0
3.0,21.0,1.0
4.0,0.0,0.984
4.0,1.0,1.0
4.0,2.0,1.0
4.0,3.0,1.0
4.0,4.0,0.95
4.0,5.0,0.458
4.0,6.0,0.982
4.0,7.0,0.946
4.0,8.0,1.0
4.0,9.0,0.548
4.0,10.0,0.554
4.0,11.0,1.0
4.0,12.0,0.768
4.0,13.0,1.0
4.0,14.0,0.654
4.0,15.0,0.924
4.0,16.0,0.868
4.0,17.0,0.652
4.0,18.0,0.986
4.0,19.0,0.962
4.0,20.0,1.0
4.0,21.0,1.0
5.0,0.0,0.99
5.0,1.0,1.0
5.0,2.0,1.0
5.0,3.0,1.0
5.0,4.0,0.912
5.0,5.0,0.536
5.0,6.0,0.982
5.0,7.0,0.93
5.0,8.0,1.0
5.0,9.0,0.592
5.0,10.0,0.602
5.0,11.0,1.0
5.0,12.0,0.71
5.0,13.0,1.0
5.0,14.0,0.66
5.0,15.0,0.956
5.0,16.0,0.854
5.0,17.0,0.618
5.0,18.0,0.982
5.0,19.0,0.966
5.0,20.0,1.0
5.0,21.0,1.0
6.0,0.0,0.984
6.0,1.0,1.0
6.0,2.0,1.0
6.0,3.0,1.0
6.0,4.0,0.912
6.0,5.0,0.502
6.0,6.0,0.982
6.0,7.0,0.926
6.0,8.0,1.0
6.0,9.0,0.564
6.0,10.0,0.578
6.0,11.0,1.0
6.0,12.0,0.736
6.0,13.0,1.0
6.0,14.0,0.702
6.0,15.0,0.952
6.0,16.0,0.856
6.0,17.0,0.654
6.0,18.0,0.972
6.0,19.0,0.968
6.0,20.0,1.0
6.0,21.0,1.0
7.0,0.0,0.994
7.0,1.0,1.0
7.0,2.0,1.0
7.0,3.0,1.0
7.0,4.0,0.894
7.0,5.0,0.456
7.0,6.0,0.974
7.0,7.0,0.936
7.0,8.0,1.0
7.0,9.0,0.51
7.0,10.0,0.572
7.0,11.0,1.0
7.0,12.0,0.72
7.0,13.0,1.0
7.0,14.0,0.67
7.0,15.0,0.94
7.0,16.0,0.872
7.0,17.0,0.614
7.0,18.0,0.97
7.0,19.0,0.962
7.0,20.0,1.0
7.0,21.0,1.0
8.0,0.0,0.98
8.0,1.0,1.0
8.0,2.0,1.0
8.0,3.0,1.0
8.0,4.0,0.918
8.0,5.0,0.488
8.0,6.0,0.966
8.0,7.0,0.926
8.0,8.0,1.0
8.0,9.0,0.544
8.0,10.0,0.62
8.0,11.0,1.0
8.0,12.0,0.742
8.0,13.0,1.0
8.0,14.0,0.648
8.0,15.0,0.946
8.0,16.0,0.85
8.0,17.0,0.628
8.0,18.0,0.988
8.0,19.0,0.966
8.0,20.0,1.0
8.0,21.0,1.0
9.0,0.0,0.974
9.0,1.0,1.0
9.0,2.0,1.0
9.0,3.0,1.0
9.0,4.0,0.94
9.0,5.0,0.474
9.0,6.0,0.972
9.0,7.0,0.944
9.0,8.0,1.0
9.0,9.0,0.686
9.0,10.0,0.512
9.0,11.0,1.0
9.0,12.0,0.744
9.0,13.0,1.0
9.0,14.0,0.7
9.0,15.0,0.958
9.0,16.0,0.868
9.0,17.0,0.65
9.0,18.0,0.98
9.0,19.0,0.952
9.0,20.0,1.0
9.0,21.0,1.0
10.0,0.0,0.986
10.0,1.0,1.0
10.0,2.0,1.0
10.0,3.0,1.0
10.0,4.0,0.902
10.0,5.0,0.484
10.0,6.0,0.976
10.0,7.0,0.904
10.0,8.0,1.0
10.0,9.0,0.514
10.0,10.0,0.82
10.0,11.0,1.0
