Var,Factor,pd_value
1.0,0.0,1.0
1.0,1.0,0.878
1.0,2.0,1.0
1.0,3.0,1.0
1.0,4.0,0.354
1.0,5.0,0.014
1.0,6.0,0.59
1.0,7.0,0.02
1.0,8.0,1.0
1.0,9.0,0.054
1.0,10.0,0.074
1.0,11.0,0.0
1.0,12.0,0.676
1.0,13.0,0.878
1.0,14.0,0.522
1.0,15.0,0.872
1.0,16.0,0.536
1.0,17.0,0.008
1.0,18.0,0.694
1.0,19.0,0.034
1.0,20.0,0.98
1.0,21.0,0.9
2.0,0.0,1.0
2.0,1.0,0.836
2.0,2.0,1.0
2.0,3.0,1.0
2.0,4.0,0.332
2.0,5.0,0.008
2.0,6.0,0.594
2.0,7.0,0.008
2.0,8.0,1.0
2.0,9.0,0.066
2.0,10.0,0.058
2.0,11.0,0.0
2.0,12.0,0.778
2.0,13.0,0.842
2.0,14.0,0.514
2.0,15.0,0.85
2.0,16.0,0.514
2.0,17.0,0.004
2.0,18.0,0.716
2.0,19.0,0.032
2.0,20.0,0.97
2.0,21.0,0.868
3.0,0.0,0.998
3.0,1.0,0.746
3.0,2.0,0.978
3.0,3.0,1.0
3.0,4.0,0.438
3.0,5.0,0.022
3.0,6.0,0.83
3.0,7.0,0.018
3.0,8.0,1.0
3.0,9.0,0.242
3.0,10.0,0.04
3.0,11.0,0.0
3.0,12.0,0.948
3.0,13.0,0.774
3.0,14.0,0.526
3.0,15.0,0.81
3.0,16.0,0.636
3.0,17.0,0.018
3.0,18.0,0.824
3.0,19.0,0.09
3.0,20.0,0.98
3.0,21.0,0.82
4.0,0.0,1.0
4.0,1.0,0.78
4.0,2.0,0.994
4.0,3.0,1.0
4.0,4.0,0.402
4.0,5.0,0.004
4.0,6.0,0.72
4.0,7.0,0.014
4.0,8.0,1.0
4.0,9.0,0.098
4.0,10.0,0.018
4.0,11.0,0.0
4.0,12.0,0.898
4.0,13.0,0.796
4.0,14.0,0.496
4.0,15.0,0.826
4.0,16.0,0.588
4.0,17.0,0.004
4.0,18.0,0.788
4.0,19.0,0.05
4.0,20.0,0.98
4.0,21.0,0.832
5.0,0.0,1.0
5.0,1.0,0.818
5.0,2.0,0.996
5.0,3.0,1.0
5.0,4.0,0.358
5.0,5.0,0.01
5.0,6.0,0.644
5.0,7.0,0.018
5.0,8.0,1.0
5.0,9.0,0.09
5.0,10.0,0.044
5.0,11.0,0.0
5.0,12.0,0.814
5.0,13.0,0.836
5.0,14.0,0.52
5.0,15.0,0.82
5.0,16.0,0.522
5.0,17.0,0.004
5.0,18.0,0.708
5.0,19.0,0.034
5.0,20.0,0.982
5.0,21.0,0.854
6.0,0.0,1.0
6.0,1.0,0.8
6.0,2.0,0.996
6.0,3.0,1.0
6.0,4.0,0.398
6.0,5.0,0.022
6.0,6.0,0.604
6.0,7.0,0.022
6.0,8.0,1.0
6.0,9.0,0.072
6.0,10.0,0.048
6.0,11.0,0.0
6.0,12.0,0.826
6.0,13.0,0.822
6.0,14.0,0.482
6.0,15.0,0.842
6.0,16.0,0.546
6.0,17.0,0.008
6.0,18.0,0.712
6.0,19.0,0.03
6.0,20.0,0.982
6.0,21.0,0.812
7.0,0.0,1.0
7.0,1.0,0.856
7.0,2.0,0.998
7.0,3.0,1.0
7.0,4.0,0.368
7.0,5.0,0.012
7.0,6.0,0.612
7.0,7.0,0.012
7.0,8.0,1.0
7.0,9.0,0.066
7.0,10.0,0.048
7.0,11.0,0.0
7.0,12.0,0.794
7.0,13.0,0.856
7.0,14.0,0.514
7.0,15.0,0.84
7.0,16.0,0.552
7.0,17.0,0.0
7.0,18.0,0.714
7.0,19.0,0.056
7.0,20.0,0.984
7.0,21.0,0.832
8.0,0.0,1.0
8.0,1.0,0.76
8.0,2.0,0.994
8.0,3.0,1.0
8.0,4.0,0.388
8.0,5.0,0.014
8.0,6.0,0.712
8.0,7.0,0.02
8.0,8.0,1.0
8.0,9.0,0.09
8.0,10.0,0.042
8.0,11.0,0.0
8.0,12.0,0.868
8.0,13.0,0.79
8.0,14.0,0.498
8.0,15.0,0.804
8.0,16.0,0.558
8.0,17.0,0.004
8.0,18.0,0.764
8.0,19.0,0.04
8.0,20.0,0.994
8.0,21.0,0.822
9.0,0.0,0.982
9.0,1.0,0.718
9.0,2.0,0.976
9.0,3.0,1.0
9.0,4.0,0.384
9.0,5.0,0.008
9.0,6.0,0.774
9.0,7.0,0.014
9.0,8.0,1.0
9.0,9.0,0.148
9.0,10.0,0.028
9.0,11.0,0.0
9.0,12.0,0.924
9.0,13.0,0.742
9.0,14.0,0.526
9.0,15.0,0.784
9.0,16.0,0.6
9.0,17.0,0.002
9.0,18.0,0.808
9.0,19.0,0.07
9.0,20.0,0.986
9.0,21.0,0.836
10.0,0.0,1.0
10.0,1.0,0.816
10.0,2.0,1.0
10.0,3.0,1.0
10.0,4.0,0.304
10.0,5.0,0.014
10.0,6.0,0.59
10.0,7.0,0.016
10.0,8.0,1.0
10.0,9.0,0.066
10.0,10.0,0.06
10.0,11.0,0.0
10.0,12.0,0.752
10.0,13.0,0.846
10.0,14.0,0.524
10.0,15.0,0.838
10.0,16.0,0.536
10.0,17.0,0.004
10.0,18.0,0.7
10.0,19.0,0.028
10.0,20.0,0.982
10.0,21.0,0.868
