Var,Factor,pd_value
1.0,0.0,0.998
1.0,1.0,1.0
1.0,2.0,1.0
1.0,3.0,1.0
1.0,4.0,0.488
1.0,5.0,0.008
1.0,6.0,0.968
1.0,7.0,0.018
1.0,8.0,1.0
1.0,9.0,0.148
1.0,10.0,0.03
1.0,11.0,0.0
1.0,12.0,0.936
1.0,13.0,0.746
1.0,14.0,0.506
1.0,15.0,1.0
1.0,16.0,0.67
1.0,17.0,0.022
1.0,18.0,0.89
1.0,19.0,0.12
1.0,20.0,0.996
1.0,21.0,0.888
2.0,0.0,0.996
2.0,1.0,0.744
2.0,2.0,1.0
2.0,3.0,1.0
2.0,4.0,0.506
2.0,5.0,0.004
2.0,6.0,0.922
2.0,7.0,0.014
2.0,8.0,1.0
2.0,9.0,0.202
2.0,10.0,0.018
2.0,11.0,0.0
2.0,12.0,0.944
2.0,13.0,0.768
2.0,14.0,0.492
2.0,15.0,0.81
2.0,16.0,0.816
2.0,17.0,0.012
2.0,18.0,0.884
2.0,19.0,0.19
2.0,20.0,0.982
2.0,21.0,0.81
3.0,0.0,0.998
3.0,1.0,0.746
3.0,2.0,0.976
3.0,3.0,1.0
3.0,4.0,0.96
3.0,5.0,0.026
3.0,6.0,0.972
3.0,7.0,0.026
3.0,8.0,1.0
3.0,9.0,0.216
3.0,10.0,0.028
3.0,11.0,0.0
3.0,12.0,0.968
3.0,13.0,0.77
3.0,14.0,0.254
3.0,15.0,0.812
3.0,16.0,0.826
3.0,17.0,0.21
3.0,18.0,0.906
3.0,19.0,0.95
3.0,20.0,1.0
3.0,21.0,0.818
4.0,0.0,0.822
4.0,1.0,0.662
4.0,2.0,0.724
4.0,3.0,1.0
4.0,4.0,0.726
4.0,5.0,0.038
4.0,6.0,0.936
4.0,7.0,0.05
4.0,8.0,1.0
4.0,9.0,0.612
4.0,10.0,0.046
4.0,11.0,0.0
4.0,12.0,0.968
4.0,13.0,0.688
4.0,14.0,0.398
4.0,15.0,0.752
4.0,16.0,0.902
4.0,17.0,0.046
4.0,18.0,0.888
4.0,19.0,0.61
4.0,20.0,0.958
4.0,21.0,0.802
5.0,0.0,0.998
5.0,1.0,0.736
5.0,2.0,0.99
5.0,3.0,1.0
5.0,4.0,0.688
5.0,5.0,0.0
5.0,6.0,0.996
5.0,7.0,0.0
5.0,8.0,1.0
5.0,9.0,0.186
5.0,10.0,0.0
5.0,11.0,0.0
5.0,12.0,0.984
5.0,13.0,0.754
5.0,14.0,0.462
5.0,15.0,0.794
5.0,16.0,0.952
5.0,17.0,0.0
5.0,18.0,0.94
5.0,19.0,0.58
5.0,20.0,0.99
5.0,21.0,0.8
6.0,0.0,0.992
6.0,1.0,0.688
6.0,2.0,0.942
6.0,3.0,1.0
6.0,4.0,0.974
6.0,5.0,0.032
6.0,6.0,1.0
6.0,7.0,0.034
6.0,8.0,1.0
6.0,9.0,0.302
6.0,10.0,0.03
6.0,11.0,0.0
6.0,12.0,0.964
6.0,13.0,0.72
6.0,14.0,0.202
6.0,15.0,0.79
6.0,16.0,0.9
6.0,17.0,0.162
6.0,18.0,0.912
6.0,19.0,0.954
6.0,20.0,0.984
6.0,21.0,0.824
7.0,0.0,0.996
7.0,1.0,0.736
7.0,2.0,0.964
7.0,3.0,1.0
7.0,4.0,0.37
7.0,5.0,0.002
7.0,6.0,0.91
7.0,7.0,0.0
7.0,8.0,1.0
7.0,9.0,0.284
7.0,10.0,0.008
7.0,11.0,0.0
7.0,12.0,0.968
7.0,13.0,0.772
7.0,14.0,0.522
7.0,15.0,0.798
7.0,16.0,0.812
7.0,17.0,0.0
7.0,18.0,0.882
7.0,19.0,0.204
7.0,20.0,0.98
7.0,21.0,0.786
8.0,0.0,0.806
8.0,1.0,0.662
8.0,2.0,0.708
8.0,3.0,1.0
8.0,4.0,0.736
8.0,5.0,0.062
8.0,6.0,0.914
8.0,7.0,0.072
8.0,8.0,1.0
8.0,9.0,0.602
8.0,10.0,0.054
8.0,11.0,0.0
8.0,12.0,0.954
8.0,13.0,0.67
8.0,14.0,0.39
8.0,15.0,0.766
8.0,16.0,0.894
8.0,17.0,0.058
8.0,18.0,0.856
8.0,19.0,0.65
8.0,20.0,0.938
8.0,21.0,0.796
9.0,0.0,1.0
9.0,1.0,0.684
9.0,2.0,0.978
9.0,3.0,1.0
9.0,4.0,0.974
9.0,5.0,0.022
9.0,6.0,1.0
9.0,7.0,0.026
9.0,8.0,1.0
9.0,9.0,0.99
9.0,10.0,0.02
9.0,11.0,0.0
9.0,12.0,0.974
9.0,13.0,0.722
9.0,14.0,0.236
9.0,15.0,0.756
9.0,16.0,0.988
9.0,17.0,0.242
9.0,18.0,0.918
9.0,19.0,0.984
9.0,20.0,0.998
9.0,21.0,0.834
10.0,0.0,0.806
10.0,1.0,0.696
10.0,2.0,0.766
10.0,3.0,1.0
10.0,4.0,0.86
10.0,5.0,0.934
10.0,6.0,0.38
10.0,7.0,0.952
10.0,8.0,1.0
10.0,9.0,0.404
10.0,10.0,1.0
10.0,11.0,0.0
10.0,12.0,0.892
10.0,13.0,0.686
10.0,14.0,0.346
10.0,15.0,0.752
10.0,16.0,0.936
10.0,17.0,0.966
10.0,18.0,0.68
10.0,19.0,0.602
10.0,20.0,0.958
10.0,21.0,0.83
