Var,Factor,pd_value
1.0,0.0,0.988
1.0,1.0,0.97
1.0,2.0,0.988
1.0,3.0,1.0
1.0,4.0,0.382
1.0,5.0,0.048
1.0,6.0,0.616
1.0,7.0,0.096
1.0,8.0,1.0
1.0,9.0,0.186
1.0,10.0,0.418
1.0,11.0,0.112
1.0,12.0,0.476
1.0,13.0,0.958
1.0,14.0,0.466
1.0,15.0,0.994
1.0,16.0,0.524
1.0,17.0,0.072
1.0,18.0,0.542
1.0,19.0,0.158
1.0,20.0,0.912
1.0,21.0,1.0
2.0,0.0,0.99
2.0,1.0,0.972
2.0,2.0,0.994
2.0,3.0,1.0
2.0,4.0,0.374
2.0,5.0,0.034
2.0,6.0,0.602
2.0,7.0,0.126
2.0,8.0,1.0
2.0,9.0,0.184
2.0,10.0,0.412
2.0,11.0,0.108
2.0,12.0,0.452
2.0,13.0,0.946
2.0,14.0,0.494
2.0,15.0,0.998
2.0,16.0,0.486
2.0,17.0,0.048
2.0,18.0,0.528
2.0,19.0,0.162
2.0,20.0,0.912
2.0,21.0,1.0
3.0,0.0,0.948
3.0,1.0,0.96
3.0,2.0,0.966
3.0,3.0,1.0
3.0,4.0,0.56
3.0,5.0,0.092
3.0,6.0,0.818
3.0,7.0,0.134
3.0,8.0,1.0
3.0,9.0,0.354
3.0,10.0,0.32
3.0,11.0,0.122
3.0,12.0,0.716
3.0,13.0,0.93
3.0,14.0,0.434
3.0,15.0,0.996
3.0,16.0,0.654
3.0,17.0,0.09
3.0,18.0,0.732
3.0,19.0,0.37
3.0,20.0,0.928
3.0,21.0,1.0
4.0,0.0,0.964
4.0,1.0,0.956
4.0,2.0,0.972
4.0,3.0,1.0
4.0,4.0,0.464
4.0,5.0,0.042
4.0,6.0,0.732
4.0,7.0,0.1
4.0,8.0,1.0
4.0,9.0,0.27
4.0,10.0,0.308
4.0,11.0,0.1
4.0,12.0,0.618
4.0,13.0,0.93
4.0,14.0,0.446
4.0,15.0,0.994
4.0,16.0,0.562
4.0,17.0,0.072
4.0,18.0,0.648
4.0,19.0,0.228
4.0,20.0,0.92
4.0,21.0,1.0
5.0,0.0,0.896
5.0,1.0,0.942
5.0,2.0,0.922
5.0,3.0,1.0
5.0,4.0,0.528
5.0,5.0,0.03
5.0,6.0,0.834
5.0,7.0,0.08
5.0,8.0,1.0
5.0,9.0,0.346
5.0,10.0,0.314
5.0,11.0,0.122
5.0,12.0,0.718
5.0,13.0,0.88
5.0,14.0,0.404
5.0,15.0,0.984
5.0,16.0,0.63
5.0,17.0,0.1
5.0,18.0,0.748
5.0,19.0,0.412
5.0,20.0,0.906
5.0,21.0,1.0
6.0,0.0,0.976
6.0,1.0,0.972
6.0,2.0,0.982
6.0,3.0,1.0
6.0,4.0,0.442
6.0,5.0,0.056
6.0,6.0,0.67
6.0,7.0,0.128
6.0,8.0,1.0
6.0,9.0,0.27
6.0,10.0,0.384
6.0,11.0,0.094
6.0,12.0,0.564
6.0,13.0,0.946
6.0,14.0,0.418
6.0,15.0,0.992
6.0,16.0,0.516
6.0,17.0,0.07
6.0,18.0,0.584
6.0,19.0,0.174
6.0,20.0,0.918
6.0,21.0,1.0
7.0,0.0,0.922
7.0,1.0,0.952
7.0,2.0,0.934
7.0,3.0,1.0
7.0,4.0,0.478
7.0,5.0,0.05
7.0,6.0,0.77
7.0,7.0,0.08
7.0,8.0,1.0
7.0,9.0,0.254
7.0,10.0,0.364
7.0,11.0,0.144
7.0,12.0,0.628
7.0,13.0,0.896
7.0,14.0,0.43
7.0,15.0,0.984
7.0,16.0,0.58
7.0,17.0,0.06
7.0,18.0,0.698
7.0,19.0,0.294
7.0,20.0,0.916
7.0,21.0,1.0
8.0,0.0,0.984
8.0,1.0,0.96
8.0,2.0,0.986
8.0,3.0,1.0
8.0,4.0,0.476
8.0,5.0,0.056
8.0,6.0,0.772
8.0,7.0,0.07
8.0,8.0,1.0
8.0,9.0,0.322
8.0,10.0,0.304
8.0,11.0,0.114
8.0,12.0,0.692
8.0,13.0,0.932
8.0,14.0,0.426
8.0,15.0,0.996
8.0,16.0,0.594
