Net_ID,Var,Factor,intervention_effect
0.0,0.01,0.0,0.0005473128399667848
0.0,0.01,1.0,4.15741892563215e-05
0.0,0.01,2.0,-1.4268783680382313e-05
0.0,0.01,3.0,1.3878746207840464e-09
0.0,0.01,4.0,-0.0004169674133102097
0.0,0.01,5.0,-2.1286245805097407e-09
0.0,0.01,6.0,0.00020330403204166236
0.0,0.01,7.0,-0.001338056803005687
0.0,0.01,8.0,1.3878746207840464e-09
0.0,0.01,9.0,-7.009101327986641e-05
0.0,0.01,10.0,-3.650136226926448e-06
0.0,0.01,11.0,1.3878746207840464e-09
0.0,0.01,12.0,-0.0005006343882523745
0.0,0.01,13.0,-0.0001716788174620787
0.0,0.01,14.0,-0.0003292865561070335
0.0,0.01,15.0,-3.585228475488922e-07
0.0,0.01,16.0,-5.030049436605122e-05
0.0,0.01,17.0,-0.003100339195805569
0.0,0.01,18.0,-0.0003582488990417354
0.0,0.01,19.0,4.5365247221124116e-05
0.0,0.01,20.0,-0.0002469835435757739
0.0,0.01,21.0,1.792113096810155e-09
0.0,1.01,0.0,0.0005473083727052241
0.0,1.01,1.0,4.157390442205422e-05
0.0,1.01,2.0,-1.4268727621169486e-05
0.0,1.01,3.0,1.3878746207840464e-09
0.0,1.01,4.0,-0.00041696761178938724
0.0,1.01,5.0,-2.1286245805097407e-09
0.0,1.01,6.0,0.0002033019995341112
0.0,1.01,7.0,-0.001338056802973752
0.0,1.01,8.0,1.3878746207840464e-09
0.0,1.01,9.0,-7.009101328014301e-05
0.0,1.01,10.0,-3.6498471262524923e-06
0.0,1.01,11.0,1.3878746207840464e-09
0.0,1.01,12.0,-0.0005006316644654007
0.0,1.01,13.0,-0.00017167763720501994
0.0,1.01,14.0,-0.0003292840670024999
0.0,1.01,15.0,-3.585280669848867e-07
0.0,1.01,16.0,-5.0300538314063115e-05
0.0,1.01,17.0,-0.003100339194811023
0.0,1.01,18.0,-0.0003582471910716367
0.0,1.01,19.0,4.536500820839784e-05
0.0,1.01,20.0,-0.00024698220659891135
0.0,1.01,21.0,1.792113096810155e-09
0.0,2.01,0.0,0.0005473039054031403
0.0,2.01,1.0,4.157361958451178e-05
0.0,2.01,2.0,-1.4268671560735413e-05
0.0,2.01,3.0,1.3878746207840464e-09
0.0,2.01,4.0,-0.000416967810267177
0.0,2.01,5.0,-2.1286245805097407e-09
0.0,2.01,6.0,0.00020329996700668707
0.0,2.01,7.0,-0.0013380568029418168
0.0,2.01,8.0,1.3878746207840464e-09
0.0,2.01,9.0,-7.00910132804196e-05
0.0,2.01,10.0,-3.64955802298339e-06
0.0,2.01,11.0,1.3878746207840464e-09
0.0,2.01,12.0,-0.0005006289406551123
0.0,2.01,13.0,-0.00017167645693630385
0.0,2.01,14.0,-0.0003292815778686009
0.0,2.01,15.0,-3.585332863376145e-07
0.0,2.01,16.0,-5.0300582260354165e-05
0.0,2.01,17.0,-0.0031003391938164678
0.0,2.01,18.0,-0.0003582454830858284
0.0,2.01,19.0,4.5364769191702514e-05
0.0,2.01,20.0,-0.00024698086961039145
0.0,2.01,21.0,1.792113096810155e-09
0.0,3.01,0.0,0.000547299438188209
0.0,3.01,1.0,4.157333474941183e-05
0.0,3.01,2.0,-1.426861549835845e-05
0.0,3.01,3.0,1.3878746207840464e-09
0.0,3.01,4.0,-0.0004169680087208194
0.0,3.01,5.0,-2.128624580509741e-09
0.0,3.01,6.0,0.00020329793450923894
0.0,3.01,7.0,-0.0013380568029098825
0.0,3.01,8.0,1.3878746207840464e-09
0.0,3.01,9.0,-7.00910132806962e-05
0.0,3.01,10.0,-3.649268925459692e-06
0.0,3.01,11.0,1.3878746207840464e-09
0.0,3.01,12.0,-0.0005006262169052755
0.0,3.01,13.0,-0.00017167527668657256
0.0,3.01,14.0,-0.0003292790887504671
0.0,3.01,15.0,-3.585385051074752e-07
0.0,3.01,16.0,-5.030062619765241e-05
0.0,3.01,17.0,-0.003100339192821939
0.0,3.01,18.0,-0.00035824377513443695
0.0,3.01,19.0,4.53645301720651e-05
0.0,3.01,20.0,-0.000246979532651348
0.0,3.01,21.0,1.792113096810155e-09
0.0,4.01,0.0,0.0005472949709577346
0.0,4.01,1.0,4.157304991159183e-05
0.0,4.01,2.0,-1.4268559434038597e-05
0.0,4.01,3.0,1.3878746207840464e-09
0.0,4.01,4.0,-0.0004169682071653025
0.0,4.01,5.0,-2.128624580509741e-09
0.0,4.01,6.0,0.0002032959020007441
0.0,4.01,7.0,-0.0013380568028779486
0.0,4.01,8.0,1.3878746207840464e-09
0.0,4.01,9.0,-7.009101328097279e-05
0.0,4.01,10.0,-3.6489798272004714e-06
0.0,4.01,11.0,1.3878746207840464e-09
0.0,4.01,12.0,-0.000500623493151775
0.0,4.01,13.0,-0.000171674096430402
0.0,4.01,14.0,-0.00032927659960507727
0.0,4.01,15.0,-3.585437236275357e-07
0.0,4.01,16.0,-5.030067012889994e-05
0.0,4.01,17.0,-0.003100339191827411
0.0,4.01,18.0,-0.00035824206717521845
0.0,4.01,19.0,4.536429114698759e-05
0.0,4.01,20.0,-0.0002469781956891959
0.0,4.01,21.0,1.792113096810155e-09
0.0,5.01,0.0,0.0005472905037654519
0.0,5.01,1.0,4.157276507454899e-05
0.0,5.01,2.0,-1.4268503368386476e-05
0.0,5.01,3.0,1.3878746207840464e-09
0.0,5.01,4.0,-0.00041696840559696247
0.0,5.01,5.0,-2.128624580509741e-09
0.0,5.01,6.0,0.00020329386950423967
0.0,5.01,7.0,-0.001338056802846015
0.0,5.01,8.0,1.3878746207840464e-09
0.0,5.01,9.0,-7.009101328124937e-05
0.0,5.01,10.0,-3.6486907314253747e-06
0.0,5.01,11.0,1.3878746207840464e-09
0.0,5.01,12.0,-0.0005006207694250309
0.0,5.01,13.0,-0.00017167291618197522
0.0,5.01,14.0,-0.00032927411046357324
0.0,5.01,15.0,-3.5854894192555165e-07
0.0,5.01,16.0,-5.0300714057593954e-05
0.0,5.01,17.0,-0.003100339190832894
0.0,5.01,18.0,-0.00035824035923104347
0.0,5.01,19.0,4.5364052120133724e-05
0.0,5.01,20.0,-0.0002469768587404775
0.0,5.01,21.0,1.792113096810155e-09
0.0,6.01,0.0,0.0005472860365743903
0.0,6.01,1.0,4.1572480235341214e-05
0.0,6.01,2.0,-1.426844730106902e-05
0.0,6.01,3.0,1.3878746207840464e-09
0.0,6.01,4.0,-0.0004169686040159659
0.0,6.01,5.0,-2.1286245805097415e-09
0.0,6.01,6.0,0.00020329183700268372
0.0,6.01,7.0,-0.0013380568028140817
0.0,6.01,8.0,1.3878746207840464e-09
0.0,6.01,9.0,-7.009101328152596e-05
0.0,6.01,10.0,-3.6484016359417115e-06
0.0,6.01,11.0,1.3878746207840464e-09
0.0,6.01,12.0,-0.0005006180457051146
0.0,6.01,13.0,-0.00017167173593099494
0.0,6.01,14.0,-0.00032927162129936516
0.0,6.01,15.0,-3.5855415980723393e-07
0.0,6.01,16.0,-5.0300757977461696e-05
0.0,6.01,17.0,-0.0031003391898383813
