Var,Factor,pd_value
0.0,0.0,0.206
0.0,1.0,1.0
0.0,2.0,1.0
0.0,3.0,0.0
0.0,4.0,0.902
0.0,5.0,0.992
0.0,6.0,1.0
0.0,7.0,1.0
0.0,8.0,1.0
0.0,9.0,0.942
0.0,10.0,1.0
0.0,11.0,1.0
0.0,12.0,1.0
0.0,13.0,1.0
0.0,14.0,1.0
0.0,15.0,1.0
0.0,16.0,0.704
0.0,17.0,1.0
0.0,18.0,0.576
0.0,19.0,1.0
0.0,20.0,1.0
0.0,21.0,1.0
0.02,0.0,0.21
0.02,1.0,1.0
0.02,2.0,1.0
0.02,3.0,0.0
0.02,4.0,0.892
0.02,5.0,0.994
0.02,6.0,1.0
0.02,7.0,1.0
0.02,8.0,1.0
0.02,9.0,0.948
0.02,10.0,1.0
0.02,11.0,1.0
0.02,12.0,1.0
0.02,13.0,1.0
0.02,14.0,1.0
0.02,15.0,1.0
0.02,16.0,0.72
0.02,17.0,1.0
0.02,18.0,0.538
0.02,19.0,1.0
0.02,20.0,1.0
0.02,21.0,1.0
0.04,0.0,0.258
0.04,1.0,1.0
0.04,2.0,1.0
0.04,3.0,0.0
0.04,4.0,0.9
0.04,5.0,0.99
0.04,6.0,1.0
0.04,7.0,0.998
0.04,8.0,1.0
0.04,9.0,0.932
0.04,10.0,1.0
0.04,11.0,1.0
0.04,12.0,1.0
0.04,13.0,1.0
0.04,14.0,1.0
0.04,15.0,1.0
0.04,16.0,0.736
0.04,17.0,1.0
0.04,18.0,0.57
0.04,19.0,1.0
0.04,20.0,1.0
0.04,21.0,1.0
0.06,0.0,0.404
0.06,1.0,1.0
0.06,2.0,1.0
0.06,3.0,0.0
0.06,4.0,0.936
0.06,5.0,0.984
0.06,6.0,1.0
0.06,7.0,1.0
0.06,8.0,1.0
0.06,9.0,0.916
0.06,10.0,1.0
0.06,11.0,1.0
0.06,12.0,1.0
0.06,13.0,1.0
0.06,14.0,1.0
0.06,15.0,1.0
0.06,16.0,0.728
0.06,17.0,0.996
0.06,18.0,0.604
0.06,19.0,0.996
0.06,20.0,1.0
0.06,21.0,1.0
0.08,0.0,0.532
0.08,1.0,1.0
0.08,2.0,1.0
0.08,3.0,0.0
0.08,4.0,0.904
0.08,5.0,0.962
0.08,6.0,1.0
0.08,7.0,0.998
0.08,8.0,1.0
0.08,9.0,0.872
0.08,10.0,1.0
0.08,11.0,1.0
0.08,12.0,1.0
0.08,13.0,1.0
0.08,14.0,1.0
0.08,15.0,1.0
0.08,16.0,0.718
0.08,17.0,0.998
0.08,18.0,0.642
0.08,19.0,1.0
0.08,20.0,1.0
0.08,21.0,1.0
0.1,0.0,0.642
0.1,1.0,1.0
0.1,2.0,1.0
0.1,3.0,0.0
0.1,4.0,0.946
0.1,5.0,0.93
0.1,6.0,1.0
0.1,7.0,0.994
0.1,8.0,1.0
0.1,9.0,0.832
0.1,10.0,1.0
0.1,11.0,1.0
0.1,12.0,1.0
0.1,13.0,1.0
0.1,14.0,0.994
0.1,15.0,1.0
0.1,16.0,0.742
0.1,17.0,0.988
0.1,18.0,0.676
0.1,19.0,0.996
0.1,20.0,1.0
0.1,21.0,1.0
0.12,0.0,0.796
0.12,1.0,1.0
0.12,2.0,1.0
0.12,3.0,0.0
0.12,4.0,0.968
0.12,5.0,0.928
0.12,6.0,1.0
0.12,7.0,0.97
0.12,8.0,1.0
0.12,9.0,0.82
0.12,10.0,1.0
0.12,11.0,1.0
0.12,12.0,1.0
0.12,13.0,1.0
0.12,14.0,0.982
0.12,15.0,1.0
0.12,16.0,0.782
0.12,17.0,0.976
0.12,18.0,0.732
0.12,19.0,0.988
0.12,20.0,1.0
0.12,21.0,1.0
0.14,0.0,0.842
0.14,1.0,1.0
0.14,2.0,1.0
0.14,3.0,0.0
0.14,4.0,0.964
0.14,5.0,0.874
0.14,6.0,1.0
0.14,7.0,0.96
0.14,8.0,1.0
0.14,9.0,0.776
0.14,10.0,1.0
0.14,11.0,1.0
0.14,12.0,1.0
0.14,13.0,1.0
0.14,14.0,0.97
0.14,15.0,1.0
0.14,16.0,0.838
0.14,17.0,0.964
0.14,18.0,0.788
0.14,19.0,0.976
0.14,20.0,1.0
0.14,21.0,1.0
0.16,0.0,0.9
0.16,1.0,1.0
0.16,2.0,1.0
0.16,3.0,0.0
0.16,4.0,0.972
0.16,5.0,0.802
0.16,6.0,1.0
0.16,7.0,0.914
0.16,8.0,1.0
0.16,9.0,0.748
0.16,10.0,1.0
0.16,11.0,1.0
0.16,12.0,0.998
0.16,13.0,1.0
0.16,14.0,0.914
0.16,15.0,1.0
0.16,16.0,0.81
0.16,17.0,0.94
0.16,18.0,0.82
0.16,19.0,0.96
0.16,20.0,1.0
0.16,21.0,1.0
0.18,0.0,0.952
0.18,1.0,1.0
0.18,2.0,1.0
0.18,3.0,0.0
0.18,4.0,0.96
0.18,5.0,0.708
0.18,6.0,1.0
0.18,7.0,0.814
0.18,8.0,1.0
0.18,9.0,0.644
0.18,10.0,1.0
0.18,11.0,1.0
0.18,12.0,0.998
0.18,13.0,1.0
0.18,14.0,0.864
0.18,15.0,1.0
0.18,16.0,0.832
0.18,17.0,0.882
0.18,18.0,0.888
0.18,19.0,0.934
0.18,20.0,1.0
0.18,21.0,1.0
