Var,Factor,pd_value,rope_value
0.0,0.0,1.0,0.0
0.0,1.0,1.0,0.652
0.0,2.0,1.0,0.1
0.0,3.0,0.0,1.0
0.0,4.0,0.44,0.28
0.0,5.0,0.04,0.24
0.0,6.0,0.76,0.5
0.0,7.0,0.032,0.1
0.0,8.0,1.0,1.0
0.0,9.0,0.148,0.6
0.0,10.0,0.124,0.68
0.0,11.0,0.048,1.0
0.0,12.0,0.724,0.4
0.0,13.0,1.0,0.092
0.0,14.0,0.488,0.268
0.0,15.0,1.0,0.988
0.0,16.0,0.592,0.292
0.0,17.0,0.02,0.14
0.0,18.0,0.716,0.328
0.0,19.0,0.168,0.18
0.0,20.0,0.98,0.116
0.0,21.0,1.0,1.0
0.1,0.0,1.0,0.0
0.1,1.0,1.0,0.536
0.1,2.0,1.0,0.088
0.1,3.0,0.0,1.0
0.1,4.0,0.42,0.252
0.1,5.0,0.028,0.324
0.1,6.0,0.7,0.404
0.1,7.0,0.056,0.152
0.1,8.0,1.0,1.0
0.1,9.0,0.176,0.6
0.1,10.0,0.216,0.64
0.1,11.0,0.08,1.0
0.1,12.0,0.572,0.356
0.1,13.0,1.0,0.06
0.1,14.0,0.476,0.264
0.1,15.0,1.0,0.888
0.1,16.0,0.52,0.268
0.1,17.0,0.028,0.132
0.1,18.0,0.692,0.332
0.1,19.0,0.148,0.18
0.1,20.0,0.976,0.092
0.1,21.0,1.0,1.0
0.2,0.0,0.972,0.028
0.2,1.0,1.0,0.348
0.2,2.0,0.996,0.044
0.2,3.0,0.0,1.0
0.2,4.0,0.372,0.24
0.2,5.0,0.044,0.712
0.2,6.0,0.56,0.376
0.2,7.0,0.088,0.472
0.2,8.0,1.0,1.0
0.2,9.0,0.116,0.68
0.2,10.0,0.5,0.64
0.2,11.0,0.212,1.0
0.2,12.0,0.4,0.32
0.2,13.0,0.984,0.1
0.2,14.0,0.508,0.348
0.2,15.0,1.0,0.676
0.2,16.0,0.472,0.348
0.2,17.0,0.044,0.492
0.2,18.0,0.504,0.288
0.2,19.0,0.188,0.276
0.2,20.0,0.9,0.116
0.2,21.0,1.0,1.0
0.30000000000000004,0.0,0.76,0.24
0.30000000000000004,1.0,0.972,0.292
0.30000000000000004,2.0,0.96,0.232
0.30000000000000004,3.0,0.0,1.0
0.30000000000000004,4.0,0.308,0.524
0.30000000000000004,5.0,0.06,0.884
0.30000000000000004,6.0,0.632,0.416
0.30000000000000004,7.0,0.1,0.78
0.30000000000000004,8.0,1.0,1.0
0.30000000000000004,9.0,0.2,0.832
0.30000000000000004,10.0,0.632,0.724
0.30000000000000004,11.0,0.18,1.0
0.30000000000000004,12.0,0.3,0.532
0.30000000000000004,13.0,0.816,0.24
0.30000000000000004,14.0,0.38,0.596
0.30000000000000004,15.0,0.992,0.464
0.30000000000000004,16.0,0.476,0.472
0.30000000000000004,17.0,0.052,0.852
0.30000000000000004,18.0,0.424,0.416
0.30000000000000004,19.0,0.188,0.688
0.30000000000000004,20.0,0.752,0.256
0.30000000000000004,21.0,1.0,1.0
0.4,0.0,0.324,0.672
0.4,1.0,0.984,0.684
0.4,2.0,0.788,0.596
0.4,3.0,0.0,1.0
0.4,4.0,0.124,0.852
0.4,5.0,0.02,0.976
0.4,6.0,0.688,0.644
0.4,7.0,0.12,0.916
0.4,8.0,1.0,1.0
0.4,9.0,0.224,0.944
0.4,10.0,0.54,0.88
0.4,11.0,0.328,1.0
0.4,12.0,0.388,0.868
0.4,13.0,0.42,0.672
0.4,14.0,0.2,0.824
0.4,15.0,0.988,0.716
0.4,16.0,0.508,0.808
0.4,17.0,0.044,0.968
0.4,18.0,0.384,0.716
0.4,19.0,0.26,0.904
0.4,20.0,0.4,0.664
0.4,21.0,1.0,1.0
0.5,0.0,0.024,0.976
0.5,1.0,0.932,0.952
0.5,2.0,0.492,0.872
0.5,3.0,0.0,1.0
0.5,4.0,0.072,0.972
0.5,5.0,0.012,1.0
0.5,6.0,0.504,0.876
0.5,7.0,0.092,1.0
0.5,8.0,1.0,1.0
0.5,9.0,0.212,0.972
0.5,10.0,0.328,0.996
0.5,11.0,0.324,1.0
0.5,12.0,0.516,0.98
0.5,13.0,0.136,0.976
0.5,14.0,0.072,0.98
0.5,15.0,0.988,0.976
0.5,16.0,0.472,0.964
0.5,17.0,0.024,0.996
0.5,18.0,0.228,0.968
0.5,19.0,0.272,0.964
0.5,20.0,0.144,0.96
0.5,21.0,1.0,1.0
0.6000000000000001,0.0,0.008,0.996
0.6000000000000001,1.0,0.668,0.968
0.6000000000000001,2.0,0.16,0.932
0.6000000000000001,3.0,0.0,1.0
0.6000000000000001,4.0,0.012,0.992
0.6000000000000001,5.0,0.032,1.0
0.6000000000000001,6.0,0.216,0.948
0.6000000000000001,7.0,0.072,1.0
0.6000000000000001,8.0,1.0,1.0
0.6000000000000001,9.0,0.188,0.98
0.6000000000000001,10.0,0.18,0.984
0.6000000000000001,11.0,0.256,1.0
0.6000000000000001,12.0,0.54,0.984
0.6000000000000001,13.0,0.136,0.996
0.6000000000000001,14.0,0.132,0.988
0.6000000000000001,15.0,0.956,0.988
0.6000000000000001,16.0,0.284,0.992
0.6000000000000001,17.0,0.032,0.996
0.6000000000000001,18.0,0.088,0.984
0.6000000000000001,19.0,0.108,0.988
0.6000000000000001,20.0,0.072,0.988
0.6000000000000001,21.0,1.0,1.0
0.7000000000000001,0.0,0.0,1.0
0.7000000000000001,1.0,0.38,0.976
0.7000000000000001,2.0,0.016,0.992
0.7000000000000001,3.0,0.0,1.0
0.7000000000000001,4.0,0.0,1.0
0.7000000000000001,5.0,0.044,1.0
0.7000000000000001,6.0,0.04,0.996
0.7000000000000001,7.0,0.072,0.996
0.7000000000000001,8.0,1.0,1.0
0.7000000000000001,9.0,0.284,0.988
0.7000000000000001,10.0,0.056,1.0
0.7000000000000001,11.0,0.136,1.0
0.7000000000000001,12.0,0.524,1.0
0.7000000000000001,13.0,0.076,1.0
0.7000000000000001,14.0,0.308,0.996
0.7000000000000001,15.0,0.892,0.984
0.7000000000000001,16.0,0.112,0.996
0.7000000000000001,17.0,0.008,1.0
0.7000000000000001,18.0,0.024,1.0
0.7000000000000001,19.0,0.036,0.996
0.7000000000000001,20.0,0.016,1.0
0.7000000000000001,21.0,1.0,1.0
0.8,0.0,0.0,1.0
0.8,1.0,0.128,0.984
0.8,2.0,0.0,1.0
0.8,3.0,0.0,1.0
0.8,4.0,0.004,0.996
0.8,5.0,0.028,1.0
0.8,6.0,0.024,0.996
0.8,7.0,0.132,1.0
0.8,8.0,1.0,1.0
0.8,9.0,0.324,0.98
0.8,10.0,0.036,0.992
0.8,11.0,0.16,1.0
0.8,12.0,0.46,0.992
0.8,13.0,0.06,1.0
0.8,14.0,0.312,0.996
0.8,15.0,0.704,0.996
0.8,16.0,0.08,0.996
0.8,17.0,0.016,1.0
