Var,Factor,pd_value,rope_value
0.01,0.0,0.536,0.776
0.01,1.0,0.472,0.988
0.01,2.0,0.328,0.948
0.01,3.0,0.0,1.0
0.01,4.0,0.328,0.904
0.01,5.0,0.38,0.892
0.01,6.0,0.408,0.92
0.01,7.0,0.444,0.896
0.01,8.0,1.0,1.0
0.01,9.0,0.468,0.884
0.01,10.0,0.5,0.96
0.01,11.0,0.296,1.0
0.01,12.0,0.604,0.856
0.01,13.0,0.488,0.952
0.01,14.0,0.44,0.932
0.01,15.0,0.516,1.0
0.01,16.0,0.364,0.884
0.01,17.0,0.424,0.892
0.01,18.0,0.256,0.912
0.01,19.0,0.468,0.912
0.01,20.0,0.568,0.768
0.01,21.0,0.488,1.0
0.11,0.0,0.708,0.44
0.11,1.0,0.52,0.964
0.11,2.0,0.34,0.84
0.11,3.0,0.0,1.0
0.11,4.0,0.38,0.768
0.11,5.0,0.412,0.764
0.11,6.0,0.376,0.876
0.11,7.0,0.48,0.72
0.11,8.0,1.0,1.0
0.11,9.0,0.428,0.832
0.11,10.0,0.404,0.9
0.11,11.0,0.272,1.0
0.11,12.0,0.536,0.76
0.11,13.0,0.532,0.872
0.11,14.0,0.488,0.824
0.11,15.0,0.5,1.0
0.11,16.0,0.436,0.784
0.11,17.0,0.436,0.728
0.11,18.0,0.328,0.864
0.11,19.0,0.468,0.788
0.11,20.0,0.632,0.62
0.11,21.0,0.496,1.0
0.21000000000000002,0.0,0.756,0.38
0.21000000000000002,1.0,0.5,0.944
0.21000000000000002,2.0,0.348,0.82
0.21000000000000002,3.0,0.0,1.0
0.21000000000000002,4.0,0.336,0.764
0.21000000000000002,5.0,0.404,0.672
0.21000000000000002,6.0,0.444,0.84
0.21000000000000002,7.0,0.468,0.636
0.21000000000000002,8.0,1.0,1.0
0.21000000000000002,9.0,0.432,0.752
0.21000000000000002,10.0,0.504,0.844
0.21000000000000002,11.0,0.356,1.0
0.21000000000000002,12.0,0.552,0.772
0.21000000000000002,13.0,0.564,0.776
0.21000000000000002,14.0,0.48,0.672
0.21000000000000002,15.0,0.5,0.988
0.21000000000000002,16.0,0.428,0.708
0.21000000000000002,17.0,0.444,0.668
0.21000000000000002,18.0,0.324,0.836
0.21000000000000002,19.0,0.456,0.68
0.21000000000000002,20.0,0.596,0.572
0.21000000000000002,21.0,0.528,1.0
0.31000000000000005,0.0,0.792,0.292
0.31000000000000005,1.0,0.492,0.9
0.31000000000000005,2.0,0.368,0.748
0.31000000000000005,3.0,0.0,1.0
0.31000000000000005,4.0,0.272,0.736
0.31000000000000005,5.0,0.444,0.636
0.31000000000000005,6.0,0.376,0.808
0.31000000000000005,7.0,0.496,0.564
0.31000000000000005,8.0,1.0,1.0
0.31000000000000005,9.0,0.44,0.724
0.31000000000000005,10.0,0.468,0.804
0.31000000000000005,11.0,0.312,1.0
0.31000000000000005,12.0,0.512,0.732
0.31000000000000005,13.0,0.536,0.66
0.31000000000000005,14.0,0.456,0.572
0.31000000000000005,15.0,0.524,0.948
0.31000000000000005,16.0,0.392,0.716
0.31000000000000005,17.0,0.448,0.596
0.31000000000000005,18.0,0.352,0.76
0.31000000000000005,19.0,0.452,0.556
0.31000000000000005,20.0,0.54,0.472
0.31000000000000005,21.0,0.468,1.0
0.41000000000000003,0.0,0.772,0.32
0.41000000000000003,1.0,0.52,0.88
0.41000000000000003,2.0,0.36,0.728
0.41000000000000003,3.0,0.0,1.0
0.41000000000000003,4.0,0.38,0.688
0.41000000000000003,5.0,0.472,0.62
0.41000000000000003,6.0,0.416,0.74
0.41000000000000003,7.0,0.492,0.572
0.41000000000000003,8.0,1.0,1.0
0.41000000000000003,9.0,0.432,0.72
0.41000000000000003,10.0,0.46,0.792
0.41000000000000003,11.0,0.312,1.0
0.41000000000000003,12.0,0.5,0.684
0.41000000000000003,13.0,0.56,0.668
0.41000000000000003,14.0,0.492,0.584
0.41000000000000003,15.0,0.532,0.948
0.41000000000000003,16.0,0.42,0.64
0.41000000000000003,17.0,0.5,0.568
0.41000000000000003,18.0,0.32,0.752
0.41000000000000003,19.0,0.436,0.588
0.41000000000000003,20.0,0.572,0.488
0.41000000000000003,21.0,0.52,1.0
0.51,0.0,0.796,0.328
0.51,1.0,0.508,0.844
0.51,2.0,0.388,0.712
0.51,3.0,0.0,1.0
0.51,4.0,0.356,0.696
0.51,5.0,0.476,0.556
0.51,6.0,0.38,0.696
0.51,7.0,0.488,0.536
0.51,8.0,1.0,1.0
0.51,9.0,0.424,0.676
0.51,10.0,0.472,0.764
0.51,11.0,0.332,1.0
0.51,12.0,0.536,0.72
0.51,13.0,0.536,0.668
0.51,14.0,0.5,0.504
0.51,15.0,0.54,0.952
0.51,16.0,0.412,0.636
0.51,17.0,0.416,0.564
0.51,18.0,0.416,0.672
0.51,19.0,0.464,0.564
0.51,20.0,0.616,0.372
0.51,21.0,0.488,1.0
0.6100000000000001,0.0,0.796,0.304
0.6100000000000001,1.0,0.496,0.844
0.6100000000000001,2.0,0.416,0.688
0.6100000000000001,3.0,0.0,1.0
0.6100000000000001,4.0,0.384,0.668
0.6100000000000001,5.0,0.424,0.564
0.6100000000000001,6.0,0.4,0.72
0.6100000000000001,7.0,0.472,0.5
0.6100000000000001,8.0,1.0,1.0
0.6100000000000001,9.0,0.432,0.64
0.6100000000000001,10.0,0.512,0.7
0.6100000000000001,11.0,0.268,1.0
0.6100000000000001,12.0,0.484,0.652
0.6100000000000001,13.0,0.536,0.604
0.6100000000000001,14.0,0.492,0.568
0.6100000000000001,15.0,0.5,0.94
0.6100000000000001,16.0,0.384,0.636
0.6100000000000001,17.0,0.432,0.536
0.6100000000000001,18.0,0.332,0.704
0.6100000000000001,19.0,0.384,0.556
0.6100000000000001,20.0,0.584,0.396
0.6100000000000001,21.0,0.564,1.0
0.7100000000000001,0.0,0.78,0.328
0.7100000000000001,1.0,0.448,0.848
0.7100000000000001,2.0,0.36,0.696
0.7100000000000001,3.0,0.0,1.0
0.7100000000000001,4.0,0.408,0.684
0.7100000000000001,5.0,0.432,0.58
0.7100000000000001,6.0,0.4,0.732
0.7100000000000001,7.0,0.428,0.504
0.7100000000000001,8.0,1.0,1.0
0.7100000000000001,9.0,0.456,0.684
0.7100000000000001,10.0,0.464,0.716
0.7100000000000001,11.0,0.34,1.0
0.7100000000000001,12.0,0.552,0.668
0.7100000000000001,13.0,0.568,0.592
0.7100000000000001,14.0,0.448,0.52
0.7100000000000001,15.0,0.52,0.924
0.7100000000000001,16.0,0.368,0.64
0.7100000000000001,17.0,0.448,0.516
0.7100000000000001,18.0,0.34,0.712
0.7100000000000001,19.0,0.456,0.504
0.7100000000000001,20.0,0.54,0.416
0.7100000000000001,21.0,0.488,1.0
0.81,0.0,0.8,0.308
0.81,1.0,0.492,0.844
0.81,2.0,0.372,0.66
0.81,3.0,0.0,1.0
0.81,4.0,0.364,0.688
0.81,5.0,0.416,0.556
0.81,6.0,0.424,0.684
0.81,7.0,0.452,0.504
0.81,8.0,1.0,1.0
0.81,9.0,0.492,0.648
0.81,10.0,0.448,0.716
0.81,11.0,0.3,1.0
0.81,12.0,0.484,0.656
0.81,13.0,0.496,0.628
0.81,14.0,0.512,0.468
0.81,15.0,0.528,0.932
0.81,16.0,0.352,0.652
0.81,17.0,0.448,0.516
0.81,18.0,0.376,0.688
0.81,19.0,0.412,0.552
0.81,20.0,0.512,0.356
0.81,21.0,0.456,1.0
0.91,0.0,0.82,0.28
0.91,1.0,0.46,0.804
0.91,2.0,0.352,0.62
0.91,3.0,0.0,1.0
0.91,4.0,0.38,0.672
0.91,5.0,0.42,0.48
0.91,6.0,0.408,0.628
0.91,7.0,0.46,0.464
0.91,8.0,1.0,1.0
0.91,9.0,0.436,0.648
0.91,10.0,0.48,0.66
0.91,11.0,0.328,1.0
0.91,12.0,0.548,0.608
0.91,13.0,0.512,0.54
0.91,14.0,0.528,0.448
0.91,15.0,0.536,0.92
0.91,16.0,0.444,0.576
0.91,17.0,0.492,0.476
0.91,18.0,0.316,0.7
0.91,19.0,0.472,0.464
0.91,20.0,0.524,0.336
0.91,21.0,0.512,1.0
1.01,0.0,0.828,0.284
1.01,1.0,0.412,0.804
1.01,2.0,0.34,0.684
1.01,3.0,0.0,1.0
1.01,4.0,0.416,0.652
1.01,5.0,0.448,0.5
