Var,Factor,pd_value
0.0,0.0,0.982
0.0,1.0,0.998
0.0,2.0,0.506
0.0,3.0,0.0
0.0,4.0,0.522
0.0,5.0,0.916
0.0,6.0,0.962
0.0,7.0,0.968
0.0,8.0,1.0
0.0,9.0,0.74
0.0,10.0,1.0
0.0,11.0,1.0
0.0,12.0,0.998
0.0,13.0,0.716
0.0,14.0,1.0
0.0,15.0,1.0
0.0,16.0,0.574
0.0,17.0,0.948
0.0,18.0,0.34
0.0,19.0,0.994
0.0,20.0,1.0
0.0,21.0,1.0
0.05,0.0,0.998
0.05,1.0,1.0
0.05,2.0,0.85
0.05,3.0,0.0
0.05,4.0,0.678
0.05,5.0,0.882
0.05,6.0,0.978
0.05,7.0,0.956
0.05,8.0,1.0
0.05,9.0,0.776
0.05,10.0,1.0
0.05,11.0,1.0
0.05,12.0,1.0
0.05,13.0,0.866
0.05,14.0,0.994
0.05,15.0,1.0
0.05,16.0,0.604
0.05,17.0,0.934
0.05,18.0,0.47
0.05,19.0,0.986
0.05,20.0,1.0
0.05,21.0,1.0
0.1,0.0,1.0
0.1,1.0,1.0
0.1,2.0,0.984
0.1,3.0,0.0
0.1,4.0,0.85
0.1,5.0,0.852
0.1,6.0,0.988
0.1,7.0,0.888
0.1,8.0,1.0
0.1,9.0,0.664
0.1,10.0,1.0
0.1,11.0,1.0
0.1,12.0,0.998
0.1,13.0,0.928
0.1,14.0,0.972
0.1,15.0,1.0
0.1,16.0,0.69
0.1,17.0,0.904
0.1,18.0,0.588
0.1,19.0,0.954
0.1,20.0,1.0
0.1,21.0,1.0
0.15000000000000002,0.0,1.0
0.15000000000000002,1.0,1.0
0.15000000000000002,2.0,0.996
0.15000000000000002,3.0,0.0
0.15000000000000002,4.0,0.934
0.15000000000000002,5.0,0.694
0.15000000000000002,6.0,0.994
0.15000000000000002,7.0,0.702
0.15000000000000002,8.0,1.0
0.15000000000000002,9.0,0.6
0.15000000000000002,10.0,1.0
0.15000000000000002,11.0,1.0
0.15000000000000002,12.0,0.996
0.15000000000000002,13.0,0.978
0.15000000000000002,14.0,0.858
0.15000000000000002,15.0,1.0
0.15000000000000002,16.0,0.722
0.15000000000000002,17.0,0.824
0.15000000000000002,18.0,0.768
0.15000000000000002,19.0,0.878
0.15000000000000002,20.0,1.0
0.15000000000000002,21.0,1.0
0.2,0.0,1.0
0.2,1.0,1.0
0.2,2.0,1.0
0.2,3.0,0.0
0.2,4.0,0.924
0.2,5.0,0.43
0.2,6.0,1.0
0.2,7.0,0.502
0.2,8.0,1.0
0.2,9.0,0.466
0.2,10.0,1.0
0.2,11.0,1.0
0.2,12.0,0.988
0.2,13.0,0.99
0.2,14.0,0.72
0.2,15.0,1.0
0.2,16.0,0.784
0.2,17.0,0.642
0.2,18.0,0.904
0.2,19.0,0.798
0.2,20.0,1.0
0.2,21.0,1.0
0.25,0.0,1.0
0.25,1.0,1.0
0.25,2.0,1.0
0.25,3.0,0.0
0.25,4.0,0.928
0.25,5.0,0.198
0.25,6.0,1.0
0.25,7.0,0.266
0.25,8.0,1.0
0.25,9.0,0.322
0.25,10.0,1.0
0.25,11.0,1.0
0.25,12.0,0.982
0.25,13.0,1.0
0.25,14.0,0.484
0.25,15.0,1.0
0.25,16.0,0.85
0.25,17.0,0.398
0.25,18.0,0.966
0.25,19.0,0.648
0.25,20.0,1.0
0.25,21.0,1.0
0.30000000000000004,0.0,1.0
0.30000000000000004,1.0,1.0
0.30000000000000004,2.0,1.0
0.30000000000000004,3.0,0.0
0.30000000000000004,4.0,0.912
0.30000000000000004,5.0,0.044
0.30000000000000004,6.0,1.0
0.30000000000000004,7.0,0.098
0.30000000000000004,8.0,1.0
0.30000000000000004,9.0,0.154
0.30000000000000004,10.0,0.982
0.30000000000000004,11.0,1.0
0.30000000000000004,12.0,0.936
0.30000000000000004,13.0,1.0
0.30000000000000004,14.0,0.372
0.30000000000000004,15.0,1.0
0.30000000000000004,16.0,0.878
0.30000000000000004,17.0,0.156
0.30000000000000004,18.0,1.0
0.30000000000000004,19.0,0.43
0.30000000000000004,20.0,1.0
0.30000000000000004,21.0,1.0
0.35000000000000003,0.0,1.0
0.35000000000000003,1.0,1.0
0.35000000000000003,2.0,1.0
0.35000000000000003,3.0,0.0
0.35000000000000003,4.0,0.866
0.35000000000000003,5.0,0.004
0.35000000000000003,6.0,1.0
0.35000000000000003,7.0,0.048
0.35000000000000003,8.0,1.0
0.35000000000000003,9.0,0.06
0.35000000000000003,10.0,0.764
0.35000000000000003,11.0,1.0
0.35000000000000003,12.0,0.846
0.35000000000000003,13.0,0.998
0.35000000000000003,14.0,0.308
0.35000000000000003,15.0,1.0
0.35000000000000003,16.0,0.892
0.35000000000000003,17.0,0.054
0.35000000000000003,18.0,0.994
0.35000000000000003,19.0,0.256
0.35000000000000003,20.0,1.0
0.35000000000000003,21.0,1.0
