Var,Factor,pd_value
1.0,0.0,0.994
1.0,1.0,0.978
1.0,2.0,0.992
1.0,3.0,1.0
1.0,4.0,0.406
1.0,5.0,0.06
1.0,6.0,0.556
1.0,7.0,0.108
1.0,8.0,1.0
1.0,9.0,0.122
1.0,10.0,0.506
1.0,11.0,0.082
1.0,12.0,0.364
1.0,13.0,0.972
1.0,14.0,0.462
1.0,15.0,0.994
1.0,16.0,0.514
1.0,17.0,0.074
1.0,18.0,0.512
1.0,19.0,0.144
1.0,20.0,0.918
1.0,21.0,1.0
2.0,0.0,0.994
2.0,1.0,0.986
2.0,2.0,0.996
2.0,3.0,1.0
2.0,4.0,0.4
2.0,5.0,0.042
2.0,6.0,0.602
2.0,7.0,0.138
2.0,8.0,1.0
2.0,9.0,0.134
2.0,10.0,0.484
2.0,11.0,0.048
2.0,12.0,0.326
2.0,13.0,0.97
2.0,14.0,0.488
2.0,15.0,1.0
2.0,16.0,0.474
2.0,17.0,0.054
2.0,18.0,0.548
2.0,19.0,0.138
2.0,20.0,0.93
2.0,21.0,1.0
3.0,0.0,0.972
3.0,1.0,0.966
3.0,2.0,0.988
3.0,3.0,1.0
3.0,4.0,0.488
3.0,5.0,0.06
3.0,6.0,0.772
3.0,7.0,0.108
3.0,8.0,1.0
3.0,9.0,0.314
3.0,10.0,0.318
3.0,11.0,0.106
3.0,12.0,0.672
3.0,13.0,0.946
3.0,14.0,0.468
3.0,15.0,0.996
3.0,16.0,0.6
3.0,17.0,0.074
3.0,18.0,0.686
3.0,19.0,0.278
3.0,20.0,0.946
3.0,21.0,1.0
4.0,0.0,0.972
4.0,1.0,0.968
4.0,2.0,0.978
4.0,3.0,1.0
4.0,4.0,0.44
4.0,5.0,0.044
4.0,6.0,0.64
4.0,7.0,0.11
4.0,8.0,0.998
4.0,9.0,0.19
4.0,10.0,0.378
4.0,11.0,0.076
4.0,12.0,0.516
4.0,13.0,0.948
4.0,14.0,0.466
4.0,15.0,0.994
4.0,16.0,0.526
4.0,17.0,0.072
4.0,18.0,0.584
4.0,19.0,0.188
4.0,20.0,0.904
4.0,21.0,0.998
5.0,0.0,0.906
5.0,1.0,0.96
5.0,2.0,0.934
5.0,3.0,1.0
5.0,4.0,0.506
5.0,5.0,0.034
5.0,6.0,0.826
5.0,7.0,0.082
5.0,8.0,1.0
5.0,9.0,0.294
5.0,10.0,0.302
5.0,11.0,0.136
5.0,12.0,0.692
5.0,13.0,0.906
5.0,14.0,0.42
5.0,15.0,0.99
5.0,16.0,0.614
5.0,17.0,0.098
5.0,18.0,0.734
5.0,19.0,0.388
5.0,20.0,0.9
5.0,21.0,1.0
6.0,0.0,0.99
6.0,1.0,0.984
6.0,2.0,0.988
6.0,3.0,1.0
6.0,4.0,0.43
6.0,5.0,0.05
6.0,6.0,0.59
6.0,7.0,0.14
6.0,8.0,1.0
6.0,9.0,0.176
6.0,10.0,0.464
6.0,11.0,0.082
6.0,12.0,0.412
6.0,13.0,0.966
6.0,14.0,0.428
6.0,15.0,0.996
6.0,16.0,0.484
6.0,17.0,0.066
6.0,18.0,0.512
6.0,19.0,0.146
6.0,20.0,0.918
6.0,21.0,1.0
7.0,0.0,0.936
7.0,1.0,0.968
7.0,2.0,0.948
7.0,3.0,1.0
7.0,4.0,0.45
7.0,5.0,0.052
7.0,6.0,0.712
7.0,7.0,0.098
7.0,8.0,1.0
7.0,9.0,0.206
7.0,10.0,0.414
7.0,11.0,0.134
7.0,12.0,0.552
7.0,13.0,0.922
7.0,14.0,0.438
7.0,15.0,0.99
7.0,16.0,0.552
7.0,17.0,0.056
7.0,18.0,0.654
7.0,19.0,0.256
7.0,20.0,0.9
7.0,21.0,1.0
8.0,0.0,0.99
8.0,1.0,0.974
8.0,2.0,0.988
8.0,3.0,1.0
8.0,4.0,0.422
8.0,5.0,0.048
8.0,6.0,0.646
8.0,7.0,0.09
8.0,8.0,1.0
8.0,9.0,0.226
8.0,10.0,0.374
8.0,11.0,0.122
8.0,12.0,0.54
8.0,13.0,0.952
8.0,14.0,0.442
8.0,15.0,0.998
8.0,16.0,0.534
8.0,17.0,0.05
8.0,18.0,0.6
8.0,19.0,0.174
8.0,20.0,0.942
8.0,21.0,1.0
9.0,0.0,0.902
9.0,1.0,0.96
9.0,2.0,0.926
9.0,3.0,1.0
9.0,4.0,0.442
9.0,5.0,0.054
9.0,6.0,0.728
9.0,7.0,0.096
9.0,8.0,1.0
9.0,9.0,0.216
9.0,10.0,0.338
9.0,11.0,0.108
9.0,12.0,0.656
9.0,13.0,0.888
9.0,14.0,0.45
9.0,15.0,0.994
9.0,16.0,0.542
9.0,17.0,0.056
9.0,18.0,0.65
9.0,19.0,0.292
9.0,20.0,0.874
9.0,21.0,1.0
10.0,0.0,0.984
10.0,1.0,0.974
10.0,2.0,0.988
10.0,3.0,1.0
10.0,4.0,0.372
10.0,5.0,0.06
10.0,6.0,0.6
10.0,7.0,0.106
10.0,8.0,1.0
10.0,9.0,0.17
10.0,10.0,0.43
10.0,11.0,0.122
10.0,12.0,0.456
10.0,13.0,0.96
10.0,14.0,0.494
10.0,15.0,1.0
10.0,16.0,0.514
10.0,17.0,0.058
10.0,18.0,0.502
10.0,19.0,0.18
10.0,20.0,0.904
10.0,21.0,1.0
11.0,0.0,0.988
11.0,1.0,0.98
11.0,2.0,0.992
11.0,3.0,1.0
11.0,4.0,0.424
11.0,5.0,0.036
11.0,6.0,0.616
11.0,7.0,0.086
