Net_ID,Var,Factor,intervention_effect
0.0,0.01,0.0,0.0011814051310918838
0.0,0.01,1.0,4.9677115621094e-06
0.0,0.01,2.0,0.0001532208562289583
0.0,0.01,3.0,-1.9600916009721026e-07
0.0,0.01,4.0,-0.0005194384999675505
0.0,0.01,5.0,-0.0006413732760997826
0.0,0.01,6.0,1.3581680511964844e-05
0.0,0.01,7.0,-0.000324915533298345
0.0,0.01,8.0,-4.984654171980019e-06
0.0,0.01,9.0,-0.00015550874963801697
0.0,0.01,10.0,-3.877744998975752e-05
0.0,0.01,11.0,5.998059243728093e-09
0.0,0.01,12.0,-6.013536310545131e-05
0.0,0.01,13.0,0.0003023244232719935
0.0,0.01,14.0,-0.00026628377990337015
0.0,0.01,15.0,-1.147770656614866e-06
0.0,0.01,16.0,4.8476100403788136e-05
0.0,0.01,17.0,-0.003352557495032004
0.0,0.01,18.0,0.00019939193258232402
0.0,0.01,19.0,-0.0002162579410451282
0.0,0.01,20.0,0.00020211491250887725
0.0,0.01,21.0,-1.4486396191226714e-06
0.0,1.01,0.0,0.042812001975910174
0.0,1.01,1.0,0.00022375845283484352
0.0,1.01,2.0,0.005335414377804881
0.0,1.01,3.0,-1.9600916001394353e-07
0.0,1.01,4.0,-0.00564704949318412
0.0,1.01,5.0,-0.004538491635677239
0.0,1.01,6.0,-0.00048072326084805383
0.0,1.01,7.0,-0.005206498670810342
0.0,1.01,8.0,-4.98465416356314e-06
0.0,1.01,9.0,-0.005323366404872881
0.0,1.01,10.0,1.857768102531132e-05
0.0,1.01,11.0,5.998059243728093e-09
0.0,1.01,12.0,-0.0017363061912714084
0.0,1.01,13.0,0.010549404109322341
0.0,1.01,14.0,-0.001738564794754923
0.0,1.01,15.0,2.3088389987324653e-05
0.0,1.01,16.0,-0.0012822234942453659
0.0,1.01,17.0,-0.007495410387338882
0.0,1.01,18.0,0.0006292756390753329
0.0,1.01,19.0,-0.00413412442001615
0.0,1.01,20.0,0.008085872080233814
0.0,1.01,21.0,-1.4486396166246696e-06
0.0,2.01,0.0,0.08427087590882165
0.0,2.01,1.0,0.000443453207327138
0.0,2.01,2.0,0.010361349553245247
0.0,2.01,3.0,-1.9600915956985432e-07
0.0,2.01,4.0,-0.010333246960641418
0.0,2.01,5.0,-0.007936114040696024
0.0,2.01,6.0,-0.0009903101164709938
0.0,2.01,7.0,-0.009845641247384573
0.0,2.01,8.0,-4.984654124913501e-06
0.0,2.01,9.0,-0.010316716342676086
0.0,2.01,10.0,9.235255626049987e-05
0.0,2.01,11.0,5.998059243728093e-09
0.0,2.01,12.0,-0.0033852926376929104
0.0,2.01,13.0,0.020494167483365106
0.0,2.01,14.0,-0.0032094510467117476
0.0,2.01,15.0,4.682021527020741e-05
0.0,2.01,16.0,-0.0026457179491926053
0.0,2.01,17.0,-0.008630871394847743
0.0,2.01,18.0,0.0009696129682864041
0.0,2.01,19.0,-0.00794863415126057
0.0,2.01,20.0,0.015487363310343172
0.0,2.01,21.0,-1.448639605411417e-06
0.0,3.01,0.0,0.12543752912249062
0.0,3.01,1.0,0.0006591848055222393
0.0,3.01,2.0,0.015403287242204078
0.0,3.01,3.0,-1.9600915759920845e-07
0.0,3.01,4.0,-0.014912710557251185
0.0,3.01,5.0,-0.011193625141385166
0.0,3.01,6.0,-0.0015026718227166558
0.0,3.01,7.0,-0.014431886272112074
0.0,3.01,8.0,-4.98465396639447e-06
0.0,3.01,9.0,-0.015323034147643216
0.0,3.01,10.0,0.0001826799291878567
0.0,3.01,11.0,5.9980592298503055e-09
0.0,3.01,12.0,-0.005009805797724143
