Var,Factor,pd_value
11.0,12.0,0.836
11.0,13.0,0.87
11.0,14.0,0.216
11.0,15.0,0.876
11.0,16.0,0.808
11.0,17.0,0.286
11.0,18.0,0.928
11.0,19.0,0.352
11.0,20.0,0.976
11.0,21.0,1.0
12.0,0.0,0.886
12.0,1.0,0.904
12.0,2.0,0.908
12.0,3.0,1.0
12.0,4.0,0.766
12.0,5.0,0.076
12.0,6.0,0.908
12.0,7.0,0.242
12.0,8.0,1.0
12.0,9.0,0.214
12.0,10.0,0.076
12.0,11.0,0.19
12.0,12.0,0.91
12.0,13.0,0.884
12.0,14.0,0.306
12.0,15.0,0.9
12.0,16.0,0.804
12.0,17.0,0.13
12.0,18.0,0.9
12.0,19.0,0.584
12.0,20.0,0.946
12.0,21.0,1.0
13.0,0.0,0.702
13.0,1.0,0.98
13.0,2.0,0.816
13.0,3.0,1.0
13.0,4.0,0.55
13.0,5.0,0.358
13.0,6.0,0.462
13.0,7.0,0.47
13.0,8.0,1.0
13.0,9.0,0.676
13.0,10.0,0.77
13.0,11.0,0.204
13.0,12.0,0.162
13.0,13.0,0.978
13.0,14.0,0.286
13.0,15.0,0.974
13.0,16.0,0.426
13.0,17.0,0.368
13.0,18.0,0.346
13.0,19.0,0.444
13.0,20.0,0.724
13.0,21.0,1.0
14.0,0.0,0.584
14.0,1.0,0.592
14.0,2.0,0.566
14.0,3.0,1.0
14.0,4.0,0.538
14.0,5.0,0.254
14.0,6.0,0.498
14.0,7.0,0.44
14.0,8.0,1.0
14.0,9.0,0.376
14.0,10.0,0.478
14.0,11.0,0.228
14.0,12.0,0.466
14.0,13.0,0.526
14.0,14.0,0.294
14.0,15.0,0.596
14.0,16.0,0.466
14.0,17.0,0.306
14.0,18.0,0.502
14.0,19.0,0.458
14.0,20.0,0.674
14.0,21.0,1.0
15.0,0.0,0.876
15.0,1.0,0.988
15.0,2.0,0.968
15.0,3.0,1.0
15.0,4.0,0.618
15.0,5.0,0.182
15.0,6.0,0.87
15.0,7.0,0.396
15.0,8.0,1.0
15.0,9.0,0.226
15.0,10.0,0.42
15.0,11.0,0.208
15.0,12.0,0.464
15.0,13.0,0.878
15.0,14.0,0.404
15.0,15.0,1.0
15.0,16.0,0.51
15.0,17.0,0.234
15.0,18.0,0.634
15.0,19.0,0.436
15.0,20.0,0.904
15.0,21.0,1.0
16.0,0.0,0.89
16.0,1.0,0.908
16.0,2.0,0.906
16.0,3.0,1.0
16.0,4.0,0.906
16.0,5.0,0.206
16.0,6.0,0.814
16.0,7.0,0.448
16.0,8.0,1.0
16.0,9.0,0.19
16.0,10.0,0.23
16.0,11.0,0.168
16.0,12.0,0.786
