Var,Factor,pd_value
1.0,0.0,1.0
1.0,1.0,1.0
1.0,2.0,1.0
1.0,3.0,1.0
1.0,4.0,0.454
1.0,5.0,0.0
1.0,6.0,0.962
1.0,7.0,0.01
1.0,8.0,1.0
1.0,9.0,0.066
1.0,10.0,0.024
1.0,11.0,0.0
1.0,12.0,0.86
1.0,13.0,0.812
1.0,14.0,0.51
1.0,15.0,1.0
1.0,16.0,0.61
1.0,17.0,0.014
1.0,18.0,0.864
1.0,19.0,0.09
1.0,20.0,0.99
1.0,21.0,1.0
2.0,0.0,1.0
2.0,1.0,0.81
2.0,2.0,1.0
2.0,3.0,1.0
2.0,4.0,0.452
2.0,5.0,0.0
2.0,6.0,0.918
2.0,7.0,0.002
2.0,8.0,1.0
2.0,9.0,0.088
2.0,10.0,0.006
2.0,11.0,0.0
2.0,12.0,0.938
2.0,13.0,0.814
2.0,14.0,0.498
2.0,15.0,0.802
2.0,16.0,0.792
2.0,17.0,0.002
2.0,18.0,0.894
2.0,19.0,0.144
2.0,20.0,0.992
2.0,21.0,0.902
3.0,0.0,1.0
3.0,1.0,0.836
3.0,2.0,1.0
3.0,3.0,1.0
3.0,4.0,0.97
3.0,5.0,0.02
3.0,6.0,0.978
3.0,7.0,0.024
3.0,8.0,1.0
3.0,9.0,0.096
3.0,10.0,0.022
3.0,11.0,0.0
3.0,12.0,0.966
3.0,13.0,0.848
3.0,14.0,0.244
3.0,15.0,0.838
3.0,16.0,0.818
3.0,17.0,0.278
3.0,18.0,0.928
3.0,19.0,0.946
3.0,20.0,1.0
3.0,21.0,0.816
4.0,0.0,0.91
4.0,1.0,0.7
4.0,2.0,0.822
4.0,3.0,1.0
4.0,4.0,0.992
4.0,5.0,0.04
4.0,6.0,0.986
4.0,7.0,0.062
4.0,8.0,1.0
4.0,9.0,0.532
4.0,10.0,0.026
4.0,11.0,0.0
4.0,12.0,0.978
4.0,13.0,0.704
4.0,14.0,0.04
4.0,15.0,0.73
4.0,16.0,0.994
4.0,17.0,0.536
4.0,18.0,0.906
4.0,19.0,0.934
4.0,20.0,0.988
4.0,21.0,0.788
5.0,0.0,0.998
5.0,1.0,0.812
5.0,2.0,0.994
5.0,3.0,1.0
5.0,4.0,0.69
5.0,5.0,0.0
5.0,6.0,0.996
5.0,7.0,0.0
5.0,8.0,1.0
5.0,9.0,0.088
5.0,10.0,0.0
5.0,11.0,0.0
5.0,12.0,0.996
5.0,13.0,0.83
5.0,14.0,0.458
5.0,15.0,0.818
5.0,16.0,0.952
5.0,17.0,0.0
5.0,18.0,0.98
5.0,19.0,0.572
5.0,20.0,0.992
5.0,21.0,0.828
6.0,0.0,1.0
6.0,1.0,0.754
6.0,2.0,0.99
6.0,3.0,1.0
6.0,4.0,0.976
6.0,5.0,0.028
6.0,6.0,1.0
6.0,7.0,0.03
6.0,8.0,1.0
6.0,9.0,0.12
6.0,10.0,0.022
6.0,11.0,0.0
6.0,12.0,0.968
6.0,13.0,0.762
6.0,14.0,0.198
6.0,15.0,0.796
6.0,16.0,0.868
6.0,17.0,0.24
6.0,18.0,0.952
6.0,19.0,0.946
6.0,20.0,1.0
6.0,21.0,0.808
7.0,0.0,0.998
7.0,1.0,0.806
7.0,2.0,0.988
7.0,3.0,1.0
7.0,4.0,0.314
7.0,5.0,0.002
7.0,6.0,0.892
7.0,7.0,0.0
7.0,8.0,1.0
7.0,9.0,0.112
7.0,10.0,0.004
7.0,11.0,0.0
7.0,12.0,0.924
7.0,13.0,0.806
7.0,14.0,0.538
7.0,15.0,0.812
7.0,16.0,0.772
7.0,17.0,0.0
7.0,18.0,0.886
7.0,19.0,0.148
7.0,20.0,0.984
7.0,21.0,0.818
8.0,0.0,1.0
8.0,1.0,0.998
8.0,2.0,1.0
8.0,3.0,1.0
8.0,4.0,0.938
8.0,5.0,0.13
8.0,6.0,1.0
8.0,7.0,0.186
8.0,8.0,1.0
8.0,9.0,0.936
8.0,10.0,0.886
8.0,11.0,0.0
8.0,12.0,0.984
8.0,13.0,0.756
8.0,14.0,0.356
8.0,15.0,1.0
8.0,16.0,0.99
8.0,17.0,0.242
8.0,18.0,0.91
8.0,19.0,0.852
8.0,20.0,0.996
8.0,21.0,1.0
9.0,0.0,1.0
9.0,1.0,0.79
9.0,2.0,0.996
9.0,3.0,1.0
9.0,4.0,0.986
9.0,5.0,0.022
9.0,6.0,1.0
9.0,7.0,0.024
9.0,8.0,1.0
9.0,9.0,1.0
9.0,10.0,0.01
9.0,11.0,0.0
9.0,12.0,0.984
9.0,13.0,0.8
9.0,14.0,0.23
9.0,15.0,0.808
9.0,16.0,0.986
9.0,17.0,0.284
9.0,18.0,0.942
9.0,19.0,0.984
9.0,20.0,1.0
9.0,21.0,0.844
10.0,0.0,0.78
10.0,1.0,0.674
10.0,2.0,0.764
10.0,3.0,1.0
10.0,4.0,0.854
10.0,5.0,0.96
10.0,6.0,0.19
10.0,7.0,0.974
10.0,8.0,1.0
10.0,9.0,0.312
10.0,10.0,1.0
10.0,11.0,0.0
10.0,12.0,0.556
10.0,13.0,0.644
10.0,14.0,0.34
10.0,15.0,0.732
10.0,16.0,0.926
10.0,17.0,0.988
10.0,18.0,0.512
10.0,19.0,0.58
10.0,20.0,0.894
10.0,21.0,0.846
