Var,Factor,pd_value,rope_value
0.01,0.0,1.0,0.0
0.01,1.0,0.516,1.0
0.01,2.0,0.536,1.0
0.01,3.0,0.0,1.0
0.01,4.0,0.488,1.0
0.01,5.0,0.488,1.0
0.01,6.0,0.552,1.0
0.01,7.0,0.504,1.0
0.01,8.0,1.0,1.0
0.01,9.0,1.0,0.252
0.01,10.0,0.424,1.0
0.01,11.0,1.0,1.0
0.01,12.0,1.0,1.0
0.01,13.0,0.544,1.0
0.01,14.0,0.492,1.0
0.01,15.0,0.496,1.0
0.01,16.0,0.564,1.0
0.01,17.0,0.536,1.0
0.01,18.0,0.028,1.0
0.01,19.0,0.488,1.0
0.01,20.0,1.0,1.0
0.01,21.0,1.0,1.0
0.11,0.0,1.0,0.0
0.11,1.0,0.508,1.0
0.11,2.0,0.396,0.72
0.11,3.0,0.0,1.0
0.11,4.0,0.384,0.704
0.11,5.0,0.464,0.556
0.11,6.0,0.484,0.996
0.11,7.0,0.484,0.496
0.11,8.0,1.0,1.0
0.11,9.0,0.64,0.616
0.11,10.0,0.456,0.996
0.11,11.0,0.792,1.0
0.11,12.0,0.968,0.808
0.11,13.0,0.496,0.544
0.11,14.0,0.496,0.52
0.11,15.0,0.5,1.0
0.11,16.0,0.508,0.54
0.11,17.0,0.544,0.516
0.11,18.0,0.316,0.98
0.11,19.0,0.516,0.536
0.11,20.0,0.66,0.592
0.11,21.0,0.708,1.0
0.21000000000000002,0.0,0.992,0.028
0.21000000000000002,1.0,0.528,0.936
0.21000000000000002,2.0,0.356,0.68
0.21000000000000002,3.0,0.0,1.0
0.21000000000000002,4.0,0.352,0.68
0.21000000000000002,5.0,0.504,0.408
0.21000000000000002,6.0,0.44,0.88
0.21000000000000002,7.0,0.54,0.4
0.21000000000000002,8.0,1.0,1.0
0.21000000000000002,9.0,0.488,0.608
0.21000000000000002,10.0,0.536,0.924
0.21000000000000002,11.0,0.66,1.0
0.21000000000000002,12.0,0.772,0.716
0.21000000000000002,13.0,0.524,0.532
0.21000000000000002,14.0,0.52,0.384
0.21000000000000002,15.0,0.508,1.0
0.21000000000000002,16.0,0.472,0.52
0.21000000000000002,17.0,0.5,0.432
0.21000000000000002,18.0,0.34,0.836
0.21000000000000002,19.0,0.46,0.408
0.21000000000000002,20.0,0.592,0.468
0.21000000000000002,21.0,0.572,1.0
0.31000000000000005,0.0,0.892,0.168
0.31000000000000005,1.0,0.544,0.876
0.31000000000000005,2.0,0.4,0.676
0.31000000000000005,3.0,0.0,1.0
0.31000000000000005,4.0,0.288,0.728
0.31000000000000005,5.0,0.46,0.508
0.31000000000000005,6.0,0.428,0.732
0.31000000000000005,7.0,0.548,0.444
0.31000000000000005,8.0,1.0,1.0
